name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
Harvest Moon: Back to Nature,PS,1999,Simulation,Ubisoft,0.11,0.07,0.12,0.02,0.32,82,6,9.3,78
Dead or Alive 5,X360,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.03,0.32,76,39,7.9,95
Final Fantasy XI,PS2,N/A,Role-Playing,Unknown,0.08,0.06,0.15,0.02,0.32,85,49,6.9,66
Overlord II,X360,2009,Action,Codemasters,0.15,0.14,0,0.03,0.32,75,60,7.2,46
Madden NFL 09,DS,2008,Sports,Electronic Arts,0.3,0,0,0.02,0.32,73.70479920430347,NA,7.8,4
Dance Dance Revolution Universe,X360,2007,Simulation,Konami Digital Entertainment,0.3,0,0,0.02,0.32,74,26,8.8,5
Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0,0.28,0,0.05,0.32,91,29,8.7,1736
"Warhammer 40,000: Squad Command",PSP,2007,Strategy,THQ,0.11,0.13,0,0.08,0.32,67,25,7.6,26
Darkwatch,PS2,2005,Shooter,Ubisoft,0.16,0.12,0,0.04,0.32,74,37,8.4,42
Tony Hawk's American Wasteland,X360,2005,Sports,Activision,0.28,0.01,0,0.03,0.32,75,43,7.2,21
Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games,0.14,0.02,0.15,0.02,0.32,73,52,7,40
Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,0.25,0.06,0,0.01,0.32,92,33,8.4,41
Harry Potter and the Deathly Hallows - Part 2,PS3,2011,Action,Electronic Arts,0.14,0.13,0,0.05,0.32,43,21,5.7,27
Sky Odyssey,PS2,2000,Simulation,Sony Computer Entertainment,0.16,0.12,0,0.04,0.32,79,18,8.4,9
Just Dance 2016,X360,2015,Misc,Ubisoft,0.23,0.05,0,0.03,0.32,63.63477801360932,NA,6,5
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.13,0.16,0,0.03,0.32,88,62,7.5,535
Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega,0.08,0.05,0.16,0.04,0.32,81,8,8.4,69
Bleach: Shattered Blade,Wii,2006,Fighting,Sega,0.21,0.01,0.08,0.02,0.32,58,30,7.5,24
FIFA Street 3,PS3,2008,Sports,Electronic Arts,0.08,0.18,0,0.06,0.32,63,37,6.9,19
Fortress,GBA,2001,Action,Majesco Entertainment,0.23,0.08,0,0.01,0.32,64,15,6.065282839336102,NA
FIFA 2001 Major League Soccer,PS,2000,Sports,Electronic Arts,0.18,0.12,0,0.02,0.32,85,10,7.8,5
Operation Flashpoint: Red River,PS3,2011,Shooter,Codemasters,0.06,0.14,0.07,0.05,0.32,67,36,6.3,18
Power Rangers Samurai,Wii,2011,Action,Namco Bandai Games,0.27,0.02,0,0.02,0.32,45,4,2.6690635710385613,NA
DiRT 2,PSP,2009,Racing,Sony Computer Entertainment,0.09,0.15,0,0.08,0.32,55,13,5.7,10
Frogger's Adventures: The Rescue,PS2,2003,Platform,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32,59,12,8.5,6
Silent Hill HD Collection,PS3,2012,Action,Konami Digital Entertainment,0.15,0.1,0.03,0.04,0.32,70,33,4.8,136
Singularity,X360,N/A,Shooter,Unknown,0.24,0.05,0,0.02,0.32,76,70,7.7,169
Karaoke Revolution Volume 3,PS2,2004,Misc,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32,82,25,7.8,10
Army of Two: The 40th Day,PSP,2010,Shooter,Electronic Arts,0.12,0.13,0,0.08,0.32,49,11,6,32
Persona 4: Dancing All Night,PSV,2015,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32,76,51,8.6,83
Ultimate Fighting Championship: Throwdown,PS2,2002,Fighting,Ubisoft,0.16,0.12,0,0.04,0.32,68,19,8,8
