rank,name,basename,genre,esrb_rating,platform,publisher,developer,jp_sales,year
19723,Tettelkaiseki Hissyou Pachislot Doujyho Yamasa & Pioneer,tettelkaiseki-hissyou-pachislot-doujyho-yamasa-amp-pioneer,Misc,unrated,playstation,Hiromi,Hiromi,0.01,1998
19724,Closed Nightmare,closed-nightmare,Misc,unrated,playstation,Nippon Ichi Software,Nippon Ichi Software,0.01,2018
19725,Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage,sengoku-hime-3-tenka-o-kirisaku-hikari-to-kage,Misc,unrated,playstation,SystemSoft,Unknown,0.01,2012
19727,Hidamari Sketch: Doko Demo Sugoroku x 365,hidamari-sketch-doko-demo-sugoroku-x-365,Misc,unrated,other,Idea Factory,Idea Factory,0.01,2009
19729,Vamwolf Cross,vamwolf-cross,Action,unrated,playstation,D3Publisher,Unknown,0.01,2015
19730,Tokyo Onmyouji: Tengen Jibashi - Rei no Baai - V Edition,tokyo-onmyouji-tengen-jibashi-rei-no-baai-v-edition,Action,unrated,playstation,Dramatic Create,Unknown,0.01,2015
19731,Kunio-kun: The World Classics Collection,kunio-kun-the-world-classics-collection,Misc,unrated,playstation,Arc System Works,"Million Co., Ltd.",0.01,2018
19732,Majin Tantei Nougami Neuro: Battle de Yo!,majin-tantei-nougami-neuro-battle-de-yo,Adventure,unrated,playstation,Compile,Compile Heart,0.01,2008
19736,Island,island,Adventure,unrated,playstation,Prototype,Unknown,0.01,2017
19737,Kantan! Tanoshii! Okashi Navi DS,kantan-tanoshii-okashi-navi-ds,Simulation,unrated,other,KOEI,Paon Corporation,0.01,2008
19738,Radirgy Noa Wii,radirgy-noa-wii,Shooter,unrated,nintendo,Milestone,MileStone Inc.,0.01,2010
19739,Your Four Knight Princesses Training Story,your-four-knight-princesses-training-story,Role-Playing,unrated,playstation,Nippon Ichi Software,Nippon Ichi Software,0.01,2018
19740,Amaekata wa Kanojo Nari ni.,amaekata-wa-kanojo-nari-ni,Visual Novel,unrated,playstation,Entergram,Giga,0.01,2017
19741,Bullet Soul Infinite Burst,bullet-soul-infinite-burst,Misc,unrated,xbox,5pb,Unknown,0.01,2014
19742,Tori no Hoshi: Aerial Planet,tori-no-hoshi-aerial-planet,Adventure,unrated,playstation,Nippon Ichi Software,Nippon Ichi Software,0.01,2008
19746,Hiiro no Kakera Twin Pack,hiiro-no-kakera-twin-pack,Adventure,unrated,playstation,Idea Factory,Idea Factory,0.01,2009
19749,Lucky Dog 1,lucky-dog-1,Visual Novel,unrated,playstation,Prototype,Prototype,0.01,2018
19750,Ima Sugu Oniichan ni Imoto da tte Iitai!,ima-sugu-oniichan-ni-imoto-da-tte-iitai,Misc,unrated,playstation,Piacci,Unknown,0.01,2014
19751,RockMan DASH / RockMan DASH2 Value Pack,rockman-dash,Role-Playing,unrated,playstation,Capcom,Capcom,0.01,2009
19753,Undertale,undertale,Role-Playing,unrated,playstation,Toby Fox,Toby Fox,0.01,2017
19754,"Sengoku Hime 2 Honoo: Hyakubana, Senran Tatsukaze no Gotoku","senran tatsukaze no gotoku""",Strategy,unrated,playstation,System Soft,System Soft,0.01,2010
19755,Shiro to Kuro no Alice: Twilight Line,shiro-to-kuro-no-alice-twilight-line,Visual Novel,unrated,playstation,Idea Factory,"Kogado Studio, Inc.",0.01,2018
19757,Darius Burst: Chronicle Saviours,darius-burst-chronicle-saviours,Action,unrated,playstation,Kadokawa Games,Pyramid,0.01,2017
19759,Taishou Yakyuujou: Otome Tatsuno Seishun Nikki,taishou-yakyuujou-otome-tatsuno-seishun-nikki,Adventure,unrated,playstation,5pb,5pb. Games,0.01,2009
