rank,name,basename,genre,esrb_rating,platform,publisher,developer,na_sales,year
11260,Peter Jacobsen's Golden Tee Golf,peter-jacobsens-golden-tee-golf,Sports,E,other,Infogrames,Incredible Technologies,0.07,2000
11262,Disney's Atlantis: The Lost Empire,disneys-atlantis-the-lost-empire,Platform,E,nintendo,THQ,3d6 Games,0.09,2001
11263,SCORE International Baja 1000: The Official Game,score-international-baja-1000-the-official-game,Racing,E10,xbox,Activision,Left Field Productions,0.11,2008
11266,MX vs ATV All Out,mx-vs-atv-all-out,Racing,E10,other,THQ Nordic,Rainbow Studios,0.09,2018
11267,Zero Escape: Zero Time Dilemma,zero-escape-zero-time-dilemma,Adventure,M,nintendo,Aksys Games,Chime,0.08,2016
11269,Assassin's Creed Chronicles,assassins-creed-chronicles,Action,T,other,Ubisoft,Climax Studios,0.01,2016
11270,Criticom,criticom,Fighting,T,other,Victory Lap Games,Kronos Digital Entertainment,0.07,1996
11271,Farming Simulator 18,farming-simulator-18,Simulation,E,nintendo,Focus Home Interactive,Giants Software,0.06,2017
11272,Charm Girls Club: My Fashion Mall,charm-girls-club-my-fashion-mall,Simulation,E,other,Electronic Arts,Electronic Arts Casual Studios,0.12,2009
11273,Mega Man X: Command Mission,mega-man-x-command-mission,Role-Playing,E,nintendo,Capcom,Capcom,0.1,2004
11274,Puzzle Quest 2,puzzle-quest-2,Puzzle,E10,other,D3 Publisher,Infinite Interactive,0.11,2010
11275,Impossible Mission,impossible-mission,Platform,E,other,Codemasters,System 3 Software,0.11,2007
11276,Prototype 2,prototype-2,Action,M,pc,Activision,Radical Entertainment,0.09,2012
11277,MotoGP 14,motogp-14,Racing,E,other,Namco Bandai Games,Milestone S.r.l.,0.05,2014
11278,PixelJunk Monsters Deluxe,pixeljunk-monsters-deluxe,Strategy,E,other,Sony Computer Entertainment,Q-Games,0.11,2010
11279,Dragon's Crown Pro,dragons-crown-pro,Role-Playing,unrated,other,Atlus,Vanillaware,0.1,2018
11280,Worms 3D,worms-3d,Strategy,T,other,Acclaim Entertainment,Team17 Software,0.06,2004
11281,Eat Lead: The Return of Matt Hazard,eat-lead-the-return-of-matt-hazard,Shooter,T,xbox,D3 Publisher,Vicious Cycle,0.1,2009
11287,Strikers 1945,strikers-1945,Shooter,E,other,Agetec,Psikyo,0.07,2001
11291,Karaoke Revolution,karaoke-revolution,Misc,T,xbox,Konami,Blitz Games,0.12,2009
11293,Galidor: Defenders of the Outer Dimension,galidor-defenders-of-the-outer-dimension,Action,E,nintendo,Electronic Arts,Tiertex Design Studios,0.09,2002
11294,Are You Smarter than a 5th Grader? Game Time,are-you-smarter-than-a-5th-grader-game-time,Puzzle,E,xbox,THQ,THQ,0.12,2009
11295,Batman: A Telltale Game Series,batman-a-telltale-game-series,Adventure,M,other,Telltale Games,Telltale Games,0.02,2016
11296,Pryzm Chapter One: The Dark Unicorn,pryzm-chapter-one-the-dark-unicorn,Adventure,T,other,TDK Mediactive,Digital Illusions,0.06,2002
11298,Rocket League,rocket-league,Sports,E,pc,Psyonix Studios,Psyonix Studios,0.03,2015
11299,Rango: The Video Game,rango-the-video-game,Action,E10,nintendo,Paramount Digital Entertainment,Behaviour Studios,0.07,2011
11301,Zenses: Rainforest,zenses-rainforest,Puzzle,E,other,Game Factory,Shin'en,0.1,2008
11302,Obscure: The Aftermath,obscure-the-aftermath,Adventure,M,nintendo,Ignition Entertainment,Hydravision Entertainment,0.11,2008
11304,NASCAR 2005: Chase for the Cup,nascar-2005-chase-for-the-cup,Racing,E,nintendo,EA Sports,EA Tiburon,0.1,2004
11306,Go! Sudoku,go-sudoku,Puzzle,E,other,Ubisoft,Sumo Digital,0.11,2006
11308,Guilty Gear X,guilty-gear-x,Fighting,T,other,Sammy Corporation,Arc System Works,0.06,2001
11309,Venetica,venetica,Role-Playing,T,other,Atari,DECK13 Interactive,0.07,2011
11310,Neopets Petpet Adventures: The Wand of Wishing,neopets-petpet-adventures-the-wand-of-wishing,Adventure,E,other,Sony Computer Entertainment,Sony Computer Entertainment America,0.11,2006
11313,Conception II: Children of the Seven Stars,conception-ii-children-of-the-seven-stars,Role-Playing,M,nintendo,Atlus,Spike Chunsoft,0.09,2014
11314,Reader Rabbit Kindergarten,reader-rabbit-kindergarten,Misc,E,nintendo,Graffiti,Graffiti Entertainment,0.12,2010
11315,Disney Sing It: Party Hits,disney-sing-it-party-hits,Misc,E,other,Disney Interactive Studios,Zoe Mode,0.1,2010
11316,NHL 2002,nhl-2002,Sports,E,nintendo,EA Sports,BudCat Creations,0.09,2002
11317,Disney's PK: Out of the Shadows,disneys-pk-out-of-the-shadows,Platform,E,other,Ubisoft,Ubisoft,0.06,2002
11319,Echo Night,echo-night,Adventure,T,other,Agetec,From Software,0.03,1999
11321,Teenage Mutant Ninja Turtles: Mutants in Manhattan,teenage-mutant-ninja-turtles-mutants-in-manhattan,Action,T,other,Activision,PlatinumGames,0.07,2016
11322,Shantae: Half-Genie Hero,shantae-half-genie-hero,Platform,T,nintendo,Xseed Games,WayForward Technologies,0.09,2018
11323,Colony Wars III: Red Sun,colony-wars-iii-red-sun,Simulation,E,other,Midway Games,Psygnosis,0.07,2000
11324,NCIS,ncis,Adventure,T,other,Ubisoft,Ubisoft,0.07,2011
11325,Magic: The Gathering - Battlemage,magic-the-gathering-battlemage,Strategy,T,other,Acclaim Entertainment,Realtime Associates,0.07,1997
11326,Backyard Baseball '09,backyard-baseball-09,Sports,E,other,Atari,Humongous Entertainment,0.11,2008
11327,Ice Age: Dawn of the Dinosaurs,ice-age-dawn-of-the-dinosaurs,Platform,E10,xbox,Activision,Eurocom Entertainment Software,0.09,2009
11328,Overstrike,overstrike,Shooter,RP,other,Electronic Arts,Insomniac Games,0.06,2013
11329,Star Trek: Conquest,star-trek-conquest,Strategy,E,nintendo,Bethesda Softworks,Bethesda Softworks,0.11,2007
11330,Ben 10 Galactic Racing,ben-10-galactic-racing,Racing,E,nintendo,D3 Publisher,Monkey Bar Games,0.08,2011
11331,Tom Clancy's Ghost Recon,tom-clancys-ghost-recon,Shooter,T,nintendo,Ubisoft,Ubisoft Paris,0.1,2010
11337,The King of Fighters '98 Ultimate Match,the-king-of-fighters-98-ultimate-match,Fighting,T,other,Ignition Entertainment,SNK Playmore Corporation,0.04,2009
11338,Puzzle Quest: Challenge of the Warlords,puzzle-quest-challenge-of-the-warlords,Puzzle,E10,other,D3 Publisher,Infinite Interactive,0.06,2007
11339,Guardian's Crusade,guardians-crusade,Role-Playing,E,other,Activision,Tamsoft,0.07,1999
11340,Major League Baseball 2K8 Fantasy All-Stars,major-league-baseball-2k8-fantasy-all-stars,Sports,E,other,Take-Two Interactive,Deep Fried Entertainment,0.11,2008
11341,Lemony Snicket's A Series of Unfortunate Events,lemony-snickets-a-series-of-unfortunate-events,Platform,E,xbox,Activision,Adrenium Games,0.09,2004
11342,Makai Kingdom: Chronicles of the Sacred Tome,makai-kingdom-chronicles-of-the-sacred-tome,Role-Playing,T,other,NIS America,Nippon Ichi Software,0.06,2005
11343,MotoGP 3 - Official Game of MotoGP,motogp-3-official-game-of-motogp,Racing,E,other,Namco,Namco,0.06,2003
11344,The Ant Bully,the-ant-bully,Platform,E10,nintendo,Midway Games,Artificial Mind and Movement,0.09,2006
11345,M&M's Kart Racing,mampms-kart-racing,Racing,E,other,DSI Games,FrontLine Studios,0.11,2008
11346,Bomberman Party Edition,bomberman-party-edition,Puzzle,E,other,Vatical Entertainment,Metro,0.07,2000
11347,Blackwater,blackwater,Shooter,T,xbox,505 Games,505 Games,0.09,2011
11351,O.D.T.: Escape... Or Die Trying,odt-escape-or-die-trying,Adventure,T,other,Psygnosis,FDI,0.07,1998
11352,Madden NFL 06,madden-nfl-06,Sports,E,other,EA Sports,Exient Entertainment,0.11,2005
11353,Break 'Em All,break-em-all,Puzzle,E,other,D3 Publisher,Warashi,0.11,2006
11356,Undead Knights,undead-knights,Action,M,other,Tecmo,Team Tachyon,0.05,2009
11358,The Voice,the-voice,Music,E10,nintendo,Activision,Zoe Mode,0.11,2014
11359,Red Faction II,red-faction-ii,Shooter,M,xbox,THQ,Outrage Games,0.09,2003
11361,Rock Band Track Pack Volume 2,rock-band-track-pack-volume-2,Misc,T,other,MTV Games,Harmonix Music Systems,0.06,2008
11362,Ninja Reflex,ninja-reflex,Action,E10,nintendo,Electronic Arts,Sanzaru Games,0.11,2008
11363,Voodoo Vince,voodoo-vince,Platform,T,xbox,Microsoft Game Studios,Beep Industries,0.09,2003
11364,SpongeBob's Surf & Skate Roadtrip,spongebobs-surf-amp-skate-roadtrip,Action,E,other,THQ,THQ,0.1,2011
11367,Job Simulator,job-simulator,Simulation,E10,other,Sony Interactive Entertainment,Owlchemy Labs,0.1,2017
11368,EA Replay,ea-replay,Action,T,other,Electronic Arts,Unknown,0.1,2006
11369,Ferrari Challenge Trofeo Pirelli,ferrari-challenge-trofeo-pirelli,Racing,E,other,Activision,Eutechnyx,0.06,2008
11370,Megamind: Ultimate Showdown,megamind-ultimate-showdown,Adventure,E10,xbox,THQ,THQ Australia Studios Pty Ltd.,0.07,2010
11372,Chase: Hollywood Stunt Driver,chase-hollywood-stunt-driver,Racing,T,xbox,BAM! Entertainment,I-Imagine,0.09,2002
11373,Dead by Daylight,dead-by-daylight,Action,M,xbox,505 Games,Behaviour Interactive Inc.,0.08,2017
11374,The Smurfs 2,the-smurfs-2,Platform,E,xbox,Ubisoft,Way Forward,0.03,2013
11375,Dance Paradise,dance-paradise,Misc,T,xbox,THQ,Smackdown Productions,0.1,2011
11376,Portal Knights,portal-knights,Role-Playing,E10,other,505 Games,Keen Games,0.02,2017
11377,Darksiders III,darksiders-iii,Action,M,xbox,THQ Nordic,Gunfire Games,0.11,2018
11378,The X Files: Resist or Serve,the-x-files-resist-or-serve,Adventure,M,other,VU Games,Black Ops Entertainment,0.06,2004
11379,Horse Life,horse-life,Simulation,E,other,D3 Publisher,Neko Entertainment,0.09,2007
11380,Legend of the Guardians: The Owls of Ga'Hoole,legend-of-the-guardians-the-owls-of-gahoole,Action,E10,other,Warner Bros. Interactive,Tantalus Interactive,0.11,2010
11381,Marvel Avengers: Battle for Earth,marvel-avengers-battle-for-earth,Misc,unrated,nintendo,Ubisoft,Ubisoft Quebec,0.06,2012
11383,Curious George,curious-george,Action,E,other,Namco,Monkey Bar Games,0.06,2006
11384,Fire Pro Wrestling World,fire-pro-wrestling-world,Fighting,T,other,Spike Chunsoft,Spike Chunsoft,0.06,2018
11385,Conduit 2,conduit-2,Shooter,T,nintendo,Sega,High Voltage Software,0.07,2011
11387,Zathura,zathura,Adventure,E10,other,2K Games,High Voltage Software,0.06,2005
11389,Vampyr,vampyr,Role-Playing,M,xbox,Focus Home Interactive,DONTNOD Entertainment,0.07,2018
11390,Batman: A Telltale Game Series,batman-a-telltale-game-series,Adventure,M,nintendo,Telltale Games,Telltale Games,0.09,2017
11392,The Walking Dead - The Telltale Series: A New Frontier,the-walking-dead-the-telltale-series-a-new-frontier,Adventure,unrated,xbox,Warner Bros. Interactive Entertainment,Telltale Games,0.1,2017
11396,NASCAR Heat 2,nascar-heat-2,Racing,E,xbox,704Games,Monster Games,0.11,2017
11397,Nascar Unleashed,nascar-unleashed,Racing,E,xbox,Activision,Activision,0.11,2011
11398,Cel Damage,cel-damage,Racing,T,xbox,Electronic Arts,Pseudo Interactive,0.09,2001
11399,Shrek: Forever After,shrek-forever-after,Platform,E10,xbox,Activision,XPEC Entertainment Inc.,0.11,2010
11400,Lovely Lisa,lovely-lisa,Simulation,E,other,Tomy Corporation,Takara Tomy,0.11,2008
11401,SSX 3,ssx-3,Sports,E,nintendo,EA Sports BIG,Visual Impact,0.09,2003
11402,Overlord: Raising Hell,overlord-raising-hell,Adventure,T,other,Codemasters,4J Studios,0.07,2008
11403,Deadliest Catch: Sea of Chaos,deadliest-catch-sea-of-chaos,Sports,E10,nintendo,Crave Entertainment,Double Tap,0.11,2010
11405,My Farm Around the World,my-farm-around-the-world,Simulation,E,other,THQ,BIP Games,0.11,2009
11407,Tokyo New World Record: Operation Abyss,tokyo-new-world-record-operation-abyss,Role-Playing,M,other,NIS America,Experience Inc.,0.04,2015
11408,Geometry Wars: Galaxies,geometry-wars-galaxies,Shooter,E,nintendo,Sierra Entertainment,Kuju Entertainment,0.11,2007
11409,Transformers: War for Cybertron -- Decepticons,transformers-war-for-cybertron-decepticons,Action,E10,other,Activision,Vicarious Visions,0.11,2010
11410,Cabela's Dangerous Hunts 2011,cabelas-dangerous-hunts-2011,Sports,T,other,Activision,Sproing Interactive Media GMBH,0.11,2010
11411,Life is Strange,life-is-strange,Adventure,M,xbox,Square Enix,DONTNOD Entertainment,0.08,2016
11412,Lunar: Dragon Song,lunar-dragon-song,Role-Playing,E10,other,Ubisoft,Game Arts / Japan Art Media (JAM),0.11,2005
11413,Breakdown,breakdown,Adventure,M,xbox,Namco,Namco,0.09,2004
11414,Rush,rush,Racing,T,other,Midway Games,Midway Studios Newcastle,0.11,2006
11416,Solitaire & Mahjong,solitaire-amp-mahjong,Puzzle,E,nintendo,Crave Entertainment,Crave Entertainment,0.11,2009
11417,Looney Tunes: Sheep Raider,looney-tunes-sheep-raider,Platform,unrated,other,Infogrames,Infogrames,0.07,2001
11420,Dynasty Warriors 8: Xtreme Legends,dynasty-warriors-8-xtreme-legends,Misc,unrated,other,Tecmo Koei,Unknown,0.03,2014
11421,Backyard Baseball '10,backyard-baseball-10,Sports,E,other,Atari,Atari,0.11,2009
11423,X2: Wolverine's Revenge,x2-wolverines-revenge,Action,T,nintendo,Activision,GenePool,0.09,2003
11424,Godzilla Unleashed: Double Smash,godzilla-unleashed-double-smash,Action,E,other,Atari,Santa Cruz Games,0.11,2007
11425,DiRT 2,dirt-2,Racing,E,other,Codemasters,Codemasters,0.06,2009
11427,Backyard Sports Football: Rookie Rush,backyard-sports-football-rookie-rush,Sports,E,nintendo,Atari,HB Studios,0.11,2010
11428,Backyard Sports Football: Rookie Rush,backyard-sports-football-rookie-rush,Sports,E,xbox,Atari,HB Studios,0.11,2010
11430,Happy Feet Two,happy-feet-two,Adventure,E,other,Warner Bros. Interactive,KMM Games,0.1,2011
11432,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,4-game-fun-pack-monopoly,Misc,E,other,Atari,Sensory Sweep,0.11,2005
11433,Showdown: Legends of Wrestling,showdown-legends-of-wrestling,Fighting,T,xbox,Acclaim Entertainment,Acclaim Studios Austin,0.09,2004
11435,NPPL Championship Paintball 2009,nppl-championship-paintball-2009,Shooter,E10,xbox,Activision,FUN Labs,0.1,2008
11439,PBR: Out of the Chute,pbr-out-of-the-chute,Sports,E10,nintendo,Crave Entertainment,D2C Games,0.11,2008
11440,Street Hoops,street-hoops,Sports,T,nintendo,Activision,Black Ops Entertainment,0.09,2002
11441,DreamWorks Super Star Kartz,dreamworks-super-star-kartz,Racing,E,nintendo,Activision,Activision,0.08,2011
11442,Atelier Annie: Alchemists of Sera Island,atelier-annie-alchemists-of-sera-island,Role-Playing,E10,other,NIS America,Gust,0.08,2009
11443,LEGO Batman 2: DC Super Heroes,lego-batman-2-dc-super-heroes,Action-Adventure,E10,nintendo,Warner Bros. Interactive Entertainment,Traveller's Tales,0.04,2013
11444,NBA 2K16,nba-2k16,Sports,E10,pc,2K Sports,Visual Concepts,0.05,2015
11446,Greg Hastings Paintball 2,greg-hastings-paintball-2,Shooter,E10,nintendo,Majesco,Super X Studios,0.11,2010
11447,Cabela's North American Adventures,cabelas-north-american-adventures,Sports,T,other,Activision,Activision,0.1,2010
11449,Dungeon Travelers 2: The Royal Library & The Monster Seal,dungeon-travelers-2-the-royal-library-amp-the-monster-seal,Role-Playing,unrated,other,Atlus,Aqua Plus,0.03,2015
11450,Earthworm Jim 3D,earthworm-jim-3d,Platform,E,nintendo,Rockstar Games,VIS Entertainment,0.1,1999
11451,NFL QB Club 2001,nfl-qb-club-2001,Sports,E,nintendo,Acclaim Entertainment,High Voltage Software,0.11,2000
11452,Rocket: Robot on Wheels,rocket-robot-on-wheels,Platform,E,nintendo,Ubisoft,Sucker Punch,0.1,1999
11455,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,T,other,THQ,Amaze Entertainment,0.11,2007
11456,Wolfenstein The Two Pack,wolfenstein-the-two-pack,Shooter,M,xbox,Bethesda Softworks,MachineGames,0.11,2017
11457,Samurai Warriors 4: Empires,samurai-warriors-4-empires,Action,unrated,other,Tecmo Koei,Omega Force,0.03,2016
11458,Deca Sports Extreme,deca-sports-extreme,Sports,E,nintendo,Konami,Hudson Soft,0.08,2011
11459,College Hoops 2K6,college-hoops-2k6,Sports,E,xbox,2K Sports,Visual Concepts,0.11,2006
11460,Godzilla: Destroy All Monsters Melee,godzilla-destroy-all-monsters-melee,Fighting,T,xbox,Atari,"Pipeworks Software, Inc.",0.09,2003
11462,The Surge,the-surge,Action,M,xbox,Focus Home Interactive,DECK13 Interactive,0.07,2017
11463,WRC: FIA World Rally Championship,wrc-fia-world-rally-championship,Racing,E10,xbox,Unknown,Milestone S.r.l,0,2017
11464,Sega Soccer Slam,sega-soccer-slam,Sports,E,other,Sega,Black Box Games,0.06,2002
11465,Wipeout 2,wipeout-2,Misc,E10,other,Activision,Endemol,0.11,2011
11466,Spider-Man: Edge of Time,spider-man-edge-of-time,Adventure,T,nintendo,Activision,Beenox,0.08,2011
11467,Dora the Explorer: Dora Saves the Mermaids,dora-the-explorer-dora-saves-the-mermaids,Platform,E,other,2K Play,High Voltage Software,0.06,2008
11468,Adventure Time: Finn & Jake Investigations,adventure-time-finn-amp-jake-investigations,Action,E10,other,Little Orbit,Vicious Cycle,0.04,2015
