rank,name,basename,genre,esrb_rating,platform,publisher,developer,na_sales,year
2231,WWE SmackDown vs. Raw 2010,wwe-smackdown-vs-raw-2010,Fighting,T,other,THQ,JAKKS Pacific,0.53,2009
2232,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,xbox,Konami,Konami,0.08,2008
2233,Tomb Raider: Underworld,tomb-raider-underworld,Adventure,T,xbox,Eidos Interactive,Crystal Dynamics,0.53,2008
2234,NHL 99,nhl-99,Sports,E,other,EA Sports,EA Canada,0.59,1998
2235,SoulCalibur III,soulcalibur-iii,Fighting,T,other,Namco,Namco,0.74,2005
2236,Naruto: Ultimate Ninja Storm,naruto-ultimate-ninja-storm,Fighting,T,other,Namco Bandai,CyberConnect2,0.49,2008
2237,Ridge Racer Revolution,ridge-racer-revolution,Racing,E,other,Namco,Namco,0.17,1996
2238,World Tour Soccer,world-tour-soccer,Sports,E,other,Sony Computer Entertainment,SCEE London Studio,0.1,2005
2239,Hot Wheels Turbo Racing,hot-wheels-turbo-racing,Racing,E,other,Electronic Arts,Stormfront Studios,0.59,1999
2240,The Orange Box,the-orange-box,Shooter,M,other,Electronic Arts,EA UK,0.28,2007
2241,Spore Creatures,spore-creatures,Simulation,E,other,Electronic Arts,Foundation 9,0.66,2008
2242,NCAA Football 99,ncaa-football-99,Sports,E,other,EA Sports,EA Tiburon,0.59,1998
2243,Mortal Kombat: Armageddon,mortal-kombat-armageddon,Fighting,M,other,Midway Games,Midway Games,0.88,2006
2244,Freekstyle,freekstyle,Racing,E,other,EA Sports BIG,Page 44 Studios,0.52,2002
2245,DiRT 3,dirt-3,Racing,T,other,Codemasters,Codemasters,0.27,2011
2247,MLB The Show 18,mlb-the-show-18,Sports,E,other,Sony Interactive Entertainment,SIE San Diego Studio,0.86,2018
2249,NBA Street V3,nba-street-v3,Sports,E,other,EA Sports BIG,EA Canada,0.52,2005
2250,Worms Armageddon,worms-armageddon,Strategy,E,other,Microprose,Team17 Software,0.18,1999
2251,Hulk,hulk,Action,T,other,Universal Interactive,Radical Entertainment,0.52,2003
2252,Endless Ocean,endless-ocean,Adventure,E,nintendo,Nintendo,Arika,0.43,2008
2253,NFL Blitz,nfl-blitz,Sports,E,nintendo,Midway Games,Midway Games,1.02,1998
2254,NFL Quarterback Club 98,nfl-quarterback-club-98,Sports,E,nintendo,Acclaim Entertainment,Iguana Entertainment,1.01,1997
2255,Sonic Generations,sonic-generations,Platform,E,nintendo,Sega,Sonic Team,0.44,2011
2258,Aliens vs Predator,aliens-vs-predator,Shooter,M,xbox,Sega,Rebellion Developments,0.55,2010
2259,Warhawk,warhawk,Shooter,T,other,Sony Computer Entertainment,Incognito Entertainment,0.49,2007
2260,Spider-Man 2,spider-man-2,Platform,E,nintendo,Activision,Digital Eclipse,0.76,2004
2261,Seek and Destroy,seek-and-destroy,Racing,T,other,Conspiracy Entertainment,Barnhouse Effect,0.52,2002
2262,Darksiders,darksiders,Action,M,xbox,THQ,Vigil Games,0.67,2010
2263,LEGO The Lord of the Rings,lego-the-lord-of-the-rings,Misc,unrated,other,Warner Bros. Interactive Entertainment,Unknown,0.37,2012
2264,Mercenaries 2: World in Flames,mercenaries-2-world-in-flames,Shooter,T,xbox,Electronic Arts,Pandemic Studios,0.65,2008
2266,Sega Superstars Tennis,sega-superstars-tennis,Sports,E10,nintendo,Sega,Sumo Digital,0.28,2008
2267,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,T,other,Activision,n-Space,0.95,2007
2268,DiRT,dirt,Racing,E,other,Codemasters,Codemasters,0.16,2007
2269,Resident Evil: The Darkside Chronicles,resident-evil-the-darkside-chronicles,Shooter,M,nintendo,Capcom,"Cavia, inc.",0.46,2009
2271,Dora the Explorer: Dora Saves the Mermaids,dora-the-explorer-dora-saves-the-mermaids,Platform,E,other,2K Play,Black Lantern Studios,0.97,2007
2272,Cosmic Ark,cosmic-ark,Shooter,unrated,other,Imagic,Imagic,0.99,1982
2273,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,socom-us-navy-seals-fireteam-bravo-2,Shooter,T,other,Sony Computer Entertainment,Zipper Interactive,0.81,2006
2274,Disney Infinity,disney-infinity,Misc,unrated,other,Disney Interactive Studios,Unknown,0.53,2013
2275,UFC Undisputed 3,ufc-undisputed-3,Fighting,unrated,other,THQ,Yukie's Osaka,0.55,2012
2276,Defender,defender,Shooter,unrated,other,Atari,Atari,0.99,1981
2277,MySims Agents,mysims-agents,Adventure,E,nintendo,Electronic Arts,EA Redwood Shores,0.63,2009
2278,Lego Marvel Super Heroes: Universe in Peril,lego-marvel-super-heroes-universe-in-peril,Action,E10,nintendo,Warner Bros. Interactive Entertainment,TT Fusion,0.42,2013
2286,Virtua Tennis 3,virtua-tennis-3,Sports,E,other,Sega,Sega-AM3,0.23,2007
2287,NBA 2K3,nba-2k3,Sports,E,other,Sega,Visual Concepts,0.51,2002
2288,The Evil Within 2,the-evil-within-2,Action,M,other,Bethesda Softworks,Tango Gameworks,0.31,2017
2289,The Simpsons: Road Rage,the-simpsons-road-rage,Racing,T,xbox,Electronic Arts,Radical Entertainment,0.78,2001
2290,Dave Mirra Freestyle BMX,dave-mirra-freestyle-bmx,Sports,E,other,Acclaim Entertainment,"Z-Axis, Ltd.",0.91,2000
2292,Forza Motorsport,forza-motorsport,Racing,E,xbox,Microsoft Game Studios,Turn 10 Studios,0.52,2005
2293,Disney Universe,disney-universe,Action,E10,nintendo,Disney Interactive Studios,Disney Interactive Studios,0.66,2011
2294,Rocksmith 2014,rocksmith-2014,Music,T,other,Ubisoft,Ubisoft San Francisco,0.56,2013
2295,Imagine: Animal Doctor,imagine-animal-doctor,Simulation,E,other,Ubisoft,Virtual Toys / Lexis Numerique,0.45,2007
2296,Sonic & SEGA All-Stars Racing,sonic-amp-sega-all-stars-racing,Racing,E,other,Sega,Sumo Digital,0.43,2010
2298,MVP Baseball 2003,mvp-baseball-2003,Sports,E,other,EA Sports,EA Sports,0.51,2003
2299,Legacy of Kain: Soul Reaver,legacy-of-kain-soul-reaver,Adventure,M,other,Eidos Interactive,Crystal Dynamics,0.58,1999
2300,WWE SmackDown vs. Raw 2010,wwe-smackdown-vs-raw-2010,Fighting,T,xbox,THQ,JAKKS Pacific,0.56,2009
2301,Sleeping Dogs,sleeping-dogs,Action-Adventure,M,other,Square Enix,United Front Games,0.31,2012
2302,Tales of Destiny,tales-of-destiny,Role-Playing,T,other,Namco,Wolfteam,0.09,1998
2304,Aliens vs Predator,aliens-vs-predator,Shooter,M,other,Sega,Rebellion Developments,0.41,2010
2305,Prey (2017),prey-2017,Shooter,M,other,Bethesda Softworks,Arkane Studios,0.25,2017
2306,ATV: Quad Power Racing,atv-quad-power-racing,Racing,E,other,Acclaim Entertainment,Climax Group,0.58,2000
2307,Mega Man X4,mega-man-x4,Platform,E,other,Capcom,Capcom,0.45,1997
2308,Naruto: Clash of Ninja 2,naruto-clash-of-ninja-2,Fighting,T,nintendo,D3 Publisher,8ing/Raizing,0.44,2006
2309,Dance Dance Revolution SuperNOVA,dance-dance-revolution-supernova,Simulation,E10,other,Konami,Konami Computer Entertainment Tokyo,0.87,2006
2310,Bomberman 64,bomberman-64,Puzzle,E,nintendo,Hudson Soft,Hudson Soft,0.5,1997
2311,Jeremy McGrath Supercross 98,jeremy-mcgrath-supercross-98,Racing,E,other,Acclaim Entertainment,Acclaim Entertainment,0.91,1998
2313,Dance on Broadway,dance-on-broadway,Misc,E10,nintendo,Ubisoft,Longtail Studios,0.27,2010
2314,WipEout Pure,wipeout-pure,Racing,E,other,Sony Computer Entertainment,Studio Liverpool,0.47,2005
2315,LEGO Pirates of the Caribbean: The Video Game,lego-pirates-of-the-caribbean-the-video-game,Action,E10,xbox,Disney Interactive Studios,Traveller's Tales,0.54,2011
2316,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,xbox,Electronic Arts,EA Canada,0.53,2005
2318,Diablo III: Ultimate Evil Edition,diablo-iii-ultimate-evil-edition,Role-Playing,M,xbox,Blizzard Entertainment,Blizzard Entertainment,0.62,2014
2319,MotorStorm: Arctic Edge,motorstorm-arctic-edge,Racing,T,other,Sony Computer Entertainment,Bigbig Studios,0.16,2009
2320,Brink,brink,Shooter,T,xbox,Bethesda Softworks,Splash Damage,0.59,2011
2321,Disney Infinity 2.0: Marvel Super Heroes,disney-infinity-20-marvel-super-heroes,Action-Adventure,E10,other,Disney Interactive Studios,Avalanche Software,0.52,2014
2322,ZhuZhu Pets,zhuzhu-pets,Simulation,E,other,Activision,Black Lantern Studios,0.68,2010
2323,The Simpsons Game,the-simpsons-game,Platform,T,xbox,Electronic Arts,EA Redwood Shores,0.54,2007
2325,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,E10,other,LucasArts,Traveller's Tales,0.44,2008
2326,Nioh,nioh,Action,M,other,Sony Interactive Entertainment,Team Ninja,0.34,2017
2327,MX vs. ATV Unleashed,mx-vs-atv-unleashed,Racing,E,other,THQ,Rainbow Studios,0.86,2005
2328,Tom Clancy's Ghost Recon Advanced Warfighter 2,tom-clancys-ghost-recon-advanced-warfighter-2,Shooter,T,other,Ubisoft,Red Storm Entertainment / Ubisoft Paris,0.34,2007
2329,Disney Fairies: Tinker Bell and the Lost Treasure,disney-fairies-tinker-bell-and-the-lost-treasure,Adventure,E,other,Disney Interactive Studios,Hyde,0.57,2009
2330,FIFA Soccer 08,fifa-soccer-08,Sports,E,nintendo,EA Sports,EA Canada,0.32,2007
2331,Guinness World Records: The Videogame,guinness-world-records-the-videogame,Action,E10,nintendo,Warner Bros. Interactive,Traveller's Tales,0.46,2008
2333,NCAA March Madness 2004,ncaa-march-madness-2004,Sports,E,other,EA Sports,NuFX,0.5,2003
2334,Junior Brain Trainer,junior-brain-trainer,Misc,E,other,Take-Two Interactive,Sanuk Games,0.23,2009
2335,Bomberman,bomberman,Puzzle,unrated,nintendo,Hudson Soft,Hudson Soft,0.18,1989
2339,Tomb Raider,tomb-raider,Action,T,pc,Eidos Interactive,Core Design Ltd.,0.96,1996
2340,Just Dance 2014,just-dance-2014,Music,E10,xbox,Ubisoft,Ubisoft Paris,0.75,2013
2341,Sonic Unleashed,sonic-unleashed,Platform,E10,other,Sega,Sonic Team,0.56,2008
2342,The Elder Scrolls III: Morrowind Game of the Year Edition,the-elder-scrolls-iii-morrowind-game-of-the-year-edition,Role-Playing,T,xbox,Bethesda Softworks,Bethesda Softworks,0.77,2003
2343,Dragon Ball Z: Budokai Tenkaichi 3,dragon-ball-z-budokai-tenkaichi-3,Fighting,T,nintendo,Atari,Spike / Bandai Namco Games,0.32,2007
2345,Tiger Woods PGA Tour 08,tiger-woods-pga-tour-08,Sports,E,nintendo,Electronic Arts,EA Salt Lake,0.93,2007
2346,LEGO Indiana Jones 2: The Adventure Continues,lego-indiana-jones-2-the-adventure-continues,Adventure,E10,xbox,LucasArts,Traveller's Tales,0.62,2009
2347,Pokemon Conquest,pokemon-conquest,Role-Playing,E,other,Nintendo,Tecmo Koei Games,0.56,2012
2348,Dead Space 3,dead-space-3,Shooter,unrated,other,Electronic Arts,Visceral Games,0.45,2013
2349,LEGO Jurassic World,lego-jurassic-world,Action,E10,other,Warner Bros. Interactive Entertainment,Traveller's Tales,0.36,2015
2350,Shrek 2,shrek-2,Platform,E,nintendo,Activision,"Luxoflux, Inc.",0.73,2004
2351,Petz: Catz 2,petz-catz-2,Simulation,E,other,Ubisoft,Yuke's Media Creations,0.51,2007
2352,Bulletstorm,bulletstorm,Shooter,M,xbox,Electronic Arts,People Can Fly,0.61,2011
2353,The Lost World: Jurassic Park,the-lost-world-jurassic-park,Action,T,other,Electronic Arts,DreamWorks Interactive,0.57,1997
2354,Assassin's Creed: Rogue,assassins-creed-rogue,Action,M,xbox,Ubisoft,Ubisoft Sofia,0.59,2014
2355,Madden NFL 07,madden-nfl-07,Sports,E,xbox,EA Sports,EA Tiburon,0.97,2006
2356,Wall-E,wall-e,Platform,E,nintendo,THQ,Heavy Iron Studios,0.51,2008
2357,Rock Band 2,rock-band-2,Misc,T,nintendo,MTV Games,Harmonix Music Systems,0.93,2008
2358,Harry Potter and the Prisoner of Azkaban,harry-potter-and-the-prisoner-of-azkaban,Adventure,E,other,Electronic Arts,Electronic Arts,0.5,2004
2359,Naruto: Clash of Ninja Revolution,naruto-clash-of-ninja-revolution,Fighting,T,nintendo,Tomy Corporation,8ting/Raizing,0.44,2007
2360,The Elder Scrolls Online,the-elder-scrolls-online,MMO,M,pc,Bethesda Softworks,ZeniMax Online Studios,0.35,2014
2361,Pong: The Next Level,pong-the-next-level,Puzzle,E,other,Hasbro Interactive,Supersonic Software,0.56,1999
2362,NBA 2K16,nba-2k16,Sports,E10,xbox,2K Sports,Visual Concepts,0.86,2015
2363,MLB 15: The Show,mlb-15-the-show,Sports,E,other,Sony Computer Entertainment,SCE San Diego Studio,0.75,2015
2364,The Simpsons Game,the-simpsons-game,Platform,T,nintendo,Electronic Arts,EA Redwood Shores,0.45,2007
2365,Steep,steep,Sports,unrated,other,Ubisoft,Ubisoft Annecy,0.23,2016
2367,Just Cause 3,just-cause-3,Action-Adventure,M,xbox,Square Enix,Avalanche Studios,0.52,2015
2368,F1 2012,f1-2012,Racing,E,other,Codemasters,Codemasters Birmingham,0.12,2012
2369,EyePet,eyepet,Simulation,E,other,Sony Computer Entertainment,SCEE London Studio,0.37,2010
2371,Madden NFL 16,madden-nfl-16,Sports,E,xbox,EA Sports,EA Tiburon,0.88,2015
2372,LEGO Marvel's Avengers,lego-marvels-avengers,Action,E10,other,Warner Bros. Interactive Entertainment,Traveller's Tales,0.31,2016
2377,NBA Jam Tournament Edition,nba-jam-tournament-edition,Sports,E,nintendo,Acclaim Entertainment,Iguana Entertainment,0.87,1995
2379,Prince of Persia,prince-of-persia,Adventure,T,xbox,Ubisoft,Ubisoft Montreal,0.54,2008
2380,LEGO Jurassic World,lego-jurassic-world,Action,E10,xbox,Warner Bros. Interactive Entertainment,Traveller's Tales,0.51,2015
2381,LEGO Harry Potter: Years 5-7,lego-harry-potter-years-5-7,Action,E10,xbox,Warner Bros. Interactive,Traveller's Tales,0.51,2011
2382,NBA 2K10,nba-2k10,Sports,E,xbox,2K Sports,Visual Concepts,0.91,2009
2383,Evolve,evolve,Shooter,M,other,2K Games,Turtle Rock Studios,0.38,2015
2385,Far Cry: Primal,far-cry-primal,Action-Adventure,M,xbox,Ubisoft,Ubisoft Montreal,0.51,2016
2386,Ford Racing 2,ford-racing-2,Racing,E,other,Gotham Games,Razorworks Studios,0.49,2003
2387,Breath of Fire III,breath-of-fire-iii,Role-Playing,T,other,Capcom,Capcom,0.29,1998
2388,NERF N-Strike Elite,nerf-n-strike-elite,Shooter,E10,nintendo,Electronic Arts,EA Salt Lake,0.93,2009
2389,Rayman Origins,rayman-origins,Platform,E10,other,Ubisoft,Ubisoft,0.33,2011
2390,PES 2009: Pro Evolution Soccer,pes-2009-pro-evolution-soccer,Sports,E,xbox,Konami,Konami,0.13,2008
2391,Dead or Alive 2,dead-or-alive-2,Fighting,unrated,other,Tecmo,Team Ninja,0.3,2000
2392,UFC Undisputed 3,ufc-undisputed-3,Fighting,unrated,xbox,THQ,Yukie's Osaka,0.72,2012
2395,1942,1942,Shooter,unrated,nintendo,Capcom,Capcom,0.65,1986
2402,Excitebike 64,excitebike-64,Racing,E,nintendo,Nintendo,Left Field Productions,0.65,2000
2429,SoulCalibur II,soulcalibur-ii,Fighting,T,xbox,Namco,Namco,0.78,2003
2431,Dead Space 3,dead-space-3,Shooter,M,xbox,Electronic Arts,Visceral Games,0.64,2013
2432,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),winning-eleven-pro-evolution-soccer-2007-all-region-sales,Sports,E,xbox,Konami,Konami Computer Entertainment Tokyo,0.08,2007
2433,Road & Track Presents: The Need for Speed,road-amp-track-presents-the-need-for-speed,Racing,E,other,Electronic Arts,EA Canada,0.56,1996
2434,NFL GameDay 2001,nfl-gameday-2001,Sports,E,other,Sony Computer Entertainment,989 Sports,0.56,2000
2435,Tom Clancy's Splinter Cell: Blacklist,tom-clancys-splinter-cell-blacklist,Action-Adventure,M,xbox,Ubisoft,Ubisoft Toronto,0.57,2013
2436,NBA Live 97,nba-live-97,Sports,E,other,EA Sports,Electronic Arts,0.55,1996
2437,Dynasty Warriors 3: Xtreme Legends,dynasty-warriors-3-xtreme-legends,Action,T,other,KOEI,Omega Force,0.13,2003
2438,Just Dance 2017,just-dance-2017,Music,E10,nintendo,Ubisoft,Ubisoft Paris,0.4,2016
2439,Guitar Hero: Aerosmith,guitar-hero-aerosmith,Misc,T,other,Activision,Neversoft,0.73,2008
2440,Jampack Winter 2000,jampack-winter-2000,Misc,T,other,Sony Computer Entertainment,Sony Computer Entertainment America,0.55,2000
2441,NCAA Football 12,ncaa-football-12,Sports,E,xbox,EA Sports,EA Tiburon,0.94,2011
2442,Ace Combat X: Skies of Deception,ace-combat-x-skies-of-deception,Simulation,T,other,Namco Bandai,Bandai Namco Games,0.37,2006
2443,NFL Fever 2002,nfl-fever-2002,Sports,E,xbox,Microsoft,Microsoft,0.74,2001
2444,Haze,haze,Shooter,M,other,Ubisoft,Free Radical Design,0.49,2008
2445,The Simpsons: Hit & Run,the-simpsons-hit-amp-run,Racing,T,nintendo,VU Games,Radical Entertainment,0.77,2003
2446,Oddworld: Abe's Exoddus,oddworld-abes-exoddus,Platform,T,other,GT Interactive,Oddworld Inhabitans,0.55,1998
2447,Tales of Graces f,tales-of-graces-f,Role-Playing,T,other,Namco Bandai,Namco Tales Studio,0.28,2012
2448,DiRT 2,dirt-2,Racing,T,other,Codemasters,Codemasters,0.27,2009
2450,The Bouncer,the-bouncer,Action,T,other,Square,SquareSoft,0.3,2001
2451,Apollo Justice: Ace Attorney,apollo-justice-ace-attorney,Adventure,T,other,Capcom,Capcom,0.28,2008
2452,Rocksmith 2014,rocksmith-2014,Music,T,xbox,Ubisoft,Ubisoft San Francisco,0.73,2013
2453,Midnight Club: LA Remix,midnight-club-la-remix,Racing,T,other,Rockstar Games,Rockstar London,0.52,2008
2454,Shadow The Hedgehog,shadow-the-hedgehog,Platform,E10,nintendo,Sega,Sonic Team,0.76,2005
2455,Dragon Age: Inquisition,dragon-age-inquisition,Role-Playing,M,xbox,Electronic Arts,BioWare Edmonton,0.63,2014
2456,Puzzler Collection,puzzler-collection,Puzzle,E,other,Zoo Digital Publishing,Route 1 Games,0.16,2008
2458,Cars: Race-O-Rama,cars-race-o-rama,Racing,E,nintendo,THQ,Rainbow Studios,0.61,2009
2459,Army of Two: The 40th Day,army-of-two-the-40th-day,Shooter,M,xbox,Electronic Arts,EA Montreal,0.65,2010
2460,PlayStation All-Stars Battle Royale,playstation-all-stars-battle-royale,Fighting,T,other,Sony Computer Entertainment,SuperBot Entertainment,0.5,2012
2462,Littlest Pet Shop: Winter,littlest-pet-shop-winter,Simulation,E,other,Electronic Arts,EA Salt Lake,0.58,2008
2463,Tom Clancy's Splinter Cell: Blacklist,tom-clancys-splinter-cell-blacklist,Action-Adventure,M,other,Ubisoft,Ubisoft Toronto,0.34,2013
2464,The LEGO Movie Videogame,the-lego-movie-videogame,Action-Adventure,E10,other,Warner Bros. Interactive Entertainment,TT Fusion,0.33,2014
2465,WWE 2K19,wwe-2k19,Fighting,unrated,other,2K Sports,Visual Concepts,0.36,2018
2466,FIFA Soccer 10,fifa-soccer-10,Sports,E,nintendo,EA Sports,EA Canada,0.23,2009
2467,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,other,Konami,Konami,0.02,2008
2468,Disney Epic Mickey 2: The Power of Two,disney-epic-mickey-2-the-power-of-two,Platform,E,nintendo,Disney Interactive Studios,Junction Point Studios,0.67,2012
2469,Sniper Elite V2,sniper-elite-v2,Shooter,M,other,505 Games,Rebellion Developments,0.38,2012
2470,Zoo Tycoon DS,zoo-tycoon-ds,Strategy,E,other,THQ,Blue Fang Games,0.86,2005
2471,Mario Party Advance,mario-party-advance,Misc,E,nintendo,Nintendo,Hudson Soft,0.5,2005
2472,Disney Tangled,disney-tangled,Action,E,other,Disney Interactive Studios,Disney Interactive Studios,0.53,2010
2473,Tetris 2,tetris-2,Puzzle,unrated,nintendo,Nintendo,Nintendo,0.62,1993
2474,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,T,nintendo,THQ,Yuke's Media Creations,0.38,2007
2475,NASCAR 99,nascar-99,Racing,E,nintendo,EA Sports,Stormfront Studios,0.94,1998
2476,Air-Sea Battle,air-sea-battle,Shooter,unrated,other,Atari,Atari,0.91,1977
2477,Wheel of Fortune,wheel-of-fortune,Misc,E,nintendo,THQ,"Pipeworks Software, Inc.",0.86,2010
2478,Suikoden III,suikoden-iii,Role-Playing,T,other,Konami,KCET,0.29,2002
2479,Madden NFL 10,madden-nfl-10,Sports,E,other,EA Sports,EA Tiburon,0.88,2009
2480,Injustice: Gods Among Us Ultimate Edition,injustice-gods-among-us-ultimate-edition,Fighting,T,other,Warner Bros. Interactive Entertainment,NetherRealm Studios,0.46,2013
2481,Fallout 3,fallout-3,Role-Playing,M,pc,Bethesda Softworks,Bethesda Game Studios,0.02,2008
2482,The Witcher 2: Assassins of Kings,the-witcher-2-assassins-of-kings,Role-Playing,M,pc,Atari,CD Projekt Red Studio,0.27,2011
2484,Madden NFL 08,madden-nfl-08,Sports,E,other,EA Sports,EA Tiburon,0.89,2007
2485,NCAA Football 06,ncaa-football-06,Sports,E,xbox,EA Sports,EA Tiburon,0.73,2005
2486,Fire Emblem,fire-emblem,Strategy,E,nintendo,Nintendo,Intelligent Systems,0.49,2003
2487,Dirge of Cerberus: Final Fantasy VII,dirge-of-cerberus-final-fantasy-vii,Shooter,T,other,Square Enix,Square Enix,0.46,2006
2488,Brutal Legend,brutal-legend,Action,M,xbox,Electronic Arts,Double Fine Productions,0.62,2009
2490,Band Hero,band-hero,Misc,E10,nintendo,Activision,Vicarious Visions,0.59,2009
2491,EA Sports UFC 3,ea-sports-ufc-3,Sports,T,other,EA Sports,EA Vancouver,0.4,2018
2492,NHL 2004,nhl-2004,Sports,E,other,EA Sports,EA Black Box,0.47,2003
2493,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,0.78,2007
2494,Cars,cars,Racing,E,other,THQ,Helixe,0.85,2006
2495,South Park: The Stick of Truth,south-park-the-stick-of-truth,Role-Playing,M,other,Ubisoft,Obsidian Entertainment,0.44,2014
2496,FIFA Soccer 2005,fifa-soccer-2005,Sports,E,xbox,EA Sports,EA Canada,0.33,2004
2497,Skylanders: Spyro's Adventure,skylanders-spyros-adventure,Action,E10,xbox,Activision,Toys for Bob,0.53,2011
2498,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,Action,M,pc,Rockstar Games,Rockstar North,0,2005
2500,Donkey Kong Junior,donkey-kong-junior,Platform,unrated,other,Coleco,Nintendo,0.9,1983
2501,LEGO Star Wars II: The Original Trilogy,lego-star-wars-ii-the-original-trilogy,Action,E10,nintendo,LucasArts,Traveller's Tales,0.75,2006
2502,Medal of Honor: Underground,medal-of-honor-underground,Shooter,T,other,Electronic Arts,DreamWorks Interactive,0.54,2000
2503,Dark Cloud 2,dark-cloud-2,Role-Playing,T,other,Sony Computer Entertainment,Level 5,0.38,2003
2505,Guitar Hero: Warriors of Rock,guitar-hero-warriors-of-rock,Misc,T,nintendo,Activision,Vicarious Visions,0.47,2010
2506,Jampack Summer '99,jampack-summer-99,Misc,T,other,Sony Computer Entertainment,Sony Computer Entertainment America,0.54,1999
2507,Tom Clancy's Ghost Recon: Future Soldier,tom-clancys-ghost-recon-future-soldier,Shooter,T,other,Ubisoft,Ubisoft Paris,0.41,2012
2509,Star Fox 64 3D,star-fox-64-3d,Shooter,E10,nintendo,Nintendo,Nintendo EAD,0.48,2011
2510,LEGO Pirates of the Caribbean: The Video Game,lego-pirates-of-the-caribbean-the-video-game,Action,E10,other,Disney Interactive Studios,Traveller's Tales,0.36,2011
2511,Sea of Thieves,sea-of-thieves,Action-Adventure,T,xbox,Microsoft Studios,Rare Ltd.,0.6,2018
2512,Mortal Kombat Trilogy,mortal-kombat-trilogy,Fighting,M,nintendo,Midway Games,Point of View Inc.,0.72,1996
2513,Star Soldier,star-soldier,Shooter,unrated,nintendo,Taxan,Hudson Soft,0.32,1988
2514,de Blob,de-blob,Platform,E,nintendo,THQ,Blue Tongue,0.49,2008
2515,Mass Effect 3,mass-effect-3,Role-Playing,M,pc,Electronic Arts,BioWare,0.4,2012
2517,PilotWings Resort,pilotwings-resort,Simulation,E,nintendo,Nintendo,Monster Games,0.4,2011
2518,NHL 2001,nhl-2001,Sports,E,other,EA Sports,EA Canada,0.47,2000
2519,Madden NFL 25,madden-nfl-25,Sports,E,other,EA Sports,EA Tiburon,0.64,2013
2522,My Weight Loss Coach,my-weight-loss-coach,Sports,E,other,Ubisoft,Ubisoft Montreal,0.3,2008
2523,Shinobi,shinobi,Action,M,other,Sega,Overworks,0.36,2002
2524,MLB 16: The Show,mlb-16-the-show,Sports,E,other,Sony Computer Entertainment,SCE San Diego Studio,0.78,2016
2525,Gangs of London,gangs-of-london,Adventure,M,other,Sony Computer Entertainment,SCEE London Studio,0.3,2006
2526,Mortal Kombat: Deadly Alliance,mortal-kombat-deadly-alliance,Fighting,M,xbox,Midway Games,Midway,0.77,2002
2527,South Park: The Stick of Truth,south-park-the-stick-of-truth,Role-Playing,M,xbox,Ubisoft,Obsidian Entertainment,0.6,2014
2528,Club Penguin: Game Day!,club-penguin-game-day,Misc,E,nintendo,Disney Interactive Studios,Artoon,0.55,2010
2531,Scooby-Doo! First Frights,scooby-doo-first-frights,Adventure,E10,nintendo,Warner Bros. Interactive,Torus Games,0.84,2009
2532,Sonic & SEGA All-Stars Racing,sonic-amp-sega-all-stars-racing,Racing,E,other,Sega,Sumo Digital,0.36,2010
2533,Harvest Moon 3D: A New Beginning,harvest-moon-3d-a-new-beginning,Simulation,E,nintendo,Natsume,Marvelous,0.41,2012
2534,ESPN NBA 2K5,espn-nba-2k5,Sports,E,xbox,Sega,Visual Concepts,0.88,2004
2535,Skylanders: Trap Team,skylanders-trap-team,Platform,E10,nintendo,Activision,Toys for Bob,0.41,2014
2536,Sonic Unleashed,sonic-unleashed,Platform,E10,xbox,Sega,Sonic Team,0.54,2008
2537,LEGO Harry Potter: Years 5-7,lego-harry-potter-years-5-7,Action,E10,other,Warner Bros. Interactive,Traveller's Tales,0.36,2011
2538,Wheel of Fortune,wheel-of-fortune,Misc,E,other,Atari,Atari,0.47,2003
2539,World Championship Poker,world-championship-poker,Misc,E,other,Crave Entertainment,Coresoft,0.8,2004
2540,Tom Clancy's Splinter Cell: Chaos Theory,tom-clancys-splinter-cell-chaos-theory,Adventure,M,other,Ubisoft,Ubisoft Montreal / Annecy,0.36,2005
2542,SpongeBob SquarePants: Battle for Bikini Bottom,spongebob-squarepants-battle-for-bikini-bottom,Platform,E,nintendo,THQ,Heavy Iron Studios,0.74,2003
2544,Mega Man Star Force Dragon / Leo / Pegasus,mega-man-star-force-dragon,Role-Playing,E,other,Capcom,Capcom,0.39,2007
2545,Wild ARMs,wild-arms,Role-Playing,E,other,Sony Computer Entertainment,Media.Vision,0.26,1997
2546,Kessen,kessen,Strategy,T,other,Electronic Arts,Koei,0.27,2000
2548,Ben 10: Alien Force,ben-10-alien-force,Action,E,other,D3 Publisher,1st Playable Productions / OneNine Studios,0.65,2008
2549,Lost Planet 2,lost-planet-2,Shooter,T,other,Capcom,Capcom,0.29,2010
2550,Driver: San Francisco,driver-san-francisco,Racing,T,other,Ubisoft,Ubisoft Reflections,0.24,2011
