rank,name,basename,genre,esrb_rating,platform,publisher,developer,pal_sales,year
2678,Hot Shots Tennis,hot-shots-tennis,Sports,E,other,Sony Computer Entertainment,Clap Hanz,0.13,2007
2679,Far Cry 4,far-cry-4,Shooter,M,xbox,Ubisoft,Ubisoft Montreal,0.37,2014
2680,Resistance: Retribution,resistance-retribution,Shooter,M,other,Sony Computer Entertainment,SCEA Bend Studio,0.36,2009
2681,Final Fantasy X / X-2 HD Remaster,final-fantasy-x,Role-Playing,T,other,Square Enix,Square Enix,0.36,2015
2682,Sonic Heroes,sonic-heroes,Platform,E,xbox,Sega,Sonic Team,0.43,2004
2683,Madden NFL 99,madden-nfl-99,Sports,E,nintendo,EA Sports,EA Tiburon,0.05,1998
2684,Spider-Man 3,spider-man-3,Platform,T,other,Activision,Vicarious Visions,0.03,2007
2685,James Bond 007: Agent Under Fire,james-bond-007-agent-under-fire,Shooter,T,xbox,Electronic Arts,EA Redwood Shores,0.22,2002
2687,X-Men Legends,x-men-legends,Role-Playing,T,xbox,Activision,Raven Software,0.24,2004
2688,NBA Live 2005,nba-live-2005,Sports,E,xbox,EA Sports,EA Canada,0.05,2004
2689,LEGO Indiana Jones 2: The Adventure Continues,lego-indiana-jones-2-the-adventure-continues,Adventure,E10,other,LucasArts,Traveller's Tales,0.3,2009
2690,Harry Potter: Quidditch World Cup,harry-potter-quidditch-world-cup,Sports,E,other,Electronic Arts,Electronic Arts,0.34,2003
2691,Buzz! Master Quiz,buzz-master-quiz,Misc,E10,other,Sony Computer Entertainment,Relentless Software,0.44,2008
2692,Madagascar,madagascar,Platform,E,nintendo,Activision,Vicarious Visions,0.24,2005
2694,Injustice 2,injustice-2,Fighting,T,xbox,Warner Bros. Interactive Entertainment,NetherRealm Studios,0.16,2017
2695,Blitz: The League,blitz-the-league,Sports,M,other,Midway Games,Midway Games,0.03,2005
2696,Minecraft: Story Mode,minecraft-story-mode,Adventure,E10,other,Mojang,Telltale Games,0.43,2015
2697,TouchMaster 2,touchmaster-2,Puzzle,E,other,Midway Games,Midway Studios San Diego,0.49,2008
2698,Castlevania: Circle of the Moon,castlevania-circle-of-the-moon,Platform,T,nintendo,Konami,KCEK,0.22,2001
2699,Pure,pure,Racing,E,other,Disney Interactive Studios,Black Rock Studio,0.33,2008
2700,Ni no Kuni II: Revenant Kingdom,ni-no-kuni-ii-revenant-kingdom,Role-Playing,T,other,Namco Bandai Games,Level 5,0.31,2018
2701,Tiger Woods PGA Tour 06,tiger-woods-pga-tour-06,Sports,E,other,EA Sports,EA Sports,0.03,2005
2702,Classic NES Series: The Legend of Zelda,classic-nes-series-the-legend-of-zelda,Adventure,unrated,nintendo,Nintendo,Nintendo,0.17,2004
2703,Fire Emblem: The Sacred Stones,fire-emblem-the-sacred-stones,Strategy,E,nintendo,Nintendo,Intelligent Systems,0.16,2005
2707,God of War III Remastered,god-of-war-iii-remastered,Action,M,other,Sony Computer Entertainment,SCEA Santa Monica Studio,0.33,2015
2708,We Ski & Snowboard,we-ski-amp-snowboard,Sports,E,nintendo,Namco Bandai,Namco Bandai Games,0.29,2009
2709,Finding Nemo,finding-nemo,Action,E,nintendo,THQ,Traveller's Tales,0.18,2003
2710,Tiger Woods PGA Tour 12: The Masters,tiger-woods-pga-tour-12-the-masters,Sports,E,other,EA Sports,EA Tiburon,0.25,2011
2711,Ace Combat 2,ace-combat-2,Simulation,T,other,Namco,Namco,0.11,1997
2712,Dissidia 012: Duodecim Final Fantasy,dissidia-012-duodecim-final-fantasy,Fighting,T,other,Square Enix,Square Enix,0.13,2011
2713,NFL 2K2,nfl-2k2,Sports,E,other,Sega,Visual Concepts,0.34,2001
2714,Resident Evil: Revelations,resident-evil-revelations,Action,M,nintendo,Capcom,Capcom,0.23,2012
2715,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,T,other,Activision,n-Space,0.25,2008
2716,CSI: Hard Evidence,csi-hard-evidence,Adventure,M,nintendo,Ubisoft,Telltale Games,0.43,2008
2717,The Tomb Raider Trilogy,the-tomb-raider-trilogy,Action,T,other,Square Enix,Crystal Dynamics,0.48,2011
2718,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,pc,Ubisoft,Ubisoft Montreal,0.54,2012
2719,Fortnite,fortnite,Action,T,other,Gearbox Software,Epic Games,0.32,2017
2721,FIFA Soccer 09 All-Play,fifa-soccer-09-all-play,Sports,E,nintendo,Electronic Arts,EA Canada,0.52,2008
2722,Samba De Amigo,samba-de-amigo,Misc,E,nintendo,Sega,Gearbox Software,0.37,2008
2723,MLB 2001,mlb-2001,Sports,E,other,Sony Computer Entertainment,989 Sports,0.34,2000
2725,The Simpsons Game,the-simpsons-game,Platform,T,other,Electronic Arts,EA Redwood Shores,0.36,2007
2726,SingStar Anthems,singstar-anthems,Misc,unrated,other,Sony Computer Entertainment,SCEE London Studio,0.68,2006
2728,Mega Man 8 Anniversary Collector's Edition,mega-man-8-anniversary-collectors-edition,Platform,E,other,Capcom,Capcom,0.3,1997
2729,Buzz! Quiz TV,buzz-quiz-tv,Misc,T,other,Sony Computer Entertainment,Relentless Software,0.47,2008
2730,F1 2010,f1-2010,Racing,E,xbox,Codemasters,Codemasters Birmingham,0.59,2010
2731,Call of Juarez: Bound in Blood,call-of-juarez-bound-in-blood,Shooter,M,other,Ubisoft,Techland,0.38,2009
2732,The Lord of the Rings: War in the North,the-lord-of-the-rings-war-in-the-north,Role-Playing,M,xbox,Warner Bros. Interactive,Snowblind Studios,0.24,2011
2733,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,Action,T,other,LucasArts,n-Space,0.29,2008
2734,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,pc,Activision,Infinity Ward,0.79,2009
2735,LittleBigPlanet Karting,littlebigplanet-karting,Racing,E,other,Sony Computer Entertainment,United Front Games,0.31,2012
2736,Monster 4x4: World Circuit,monster-4x4-world-circuit,Racing,E,nintendo,Ubisoft,Ubisoft Montreal,0,2006
2737,NBA 2K6,nba-2k6,Action,E,other,2K Sports,Unknown,0.34,2005
2738,Sonic Chronicles: The Dark Brotherhood,sonic-chronicles-the-dark-brotherhood,Role-Playing,E,other,Sega,BioWare Corp.,0.29,2008
2739,Buzz! The Mega Quiz,buzz-the-mega-quiz,Misc,E10,other,Sony Computer Entertainment,Relentless Software,0.06,2007
2740,Star Wars: Rebel Assault II - The Hidden Empire,star-wars-rebel-assault-ii-the-hidden-empire,Shooter,E,other,LucasArts,Factor 5,0.33,1996
2741,Rock Band 3,rock-band-3,Misc,T,xbox,MTV Games,Harmonix Music Systems,0.09,2010
2742,F1 2009,f1-2009,Racing,E,nintendo,Codemasters,Sumo Digital,0.62,2009
2743,LEGO Harry Potter Collection,lego-harry-potter-collection,Action,E,other,Warner Bros. Interactive Entertainment,Traveller's Tales,0.68,2016
2744,WWE SmackDown vs. Raw 2011,wwe-smackdown-vs-raw-2011,Fighting,T,xbox,THQ,JAKKS Pacific,0.35,2010
2745,ESPN NHL 2K5,espn-nhl-2k5,Sports,E,other,Sega,Kush Games,0.33,2004
2746,Madden NFL 08,madden-nfl-08,Sports,E,nintendo,EA Sports,EA Tiburon,0,2007
2747,Metal Gear Ac!d,metal-gear-acd,Strategy,M,other,Konami,Konami,0.26,2005
2748,Crimson Skies: High Road to Revenge,crimson-skies-high-road-to-revenge,Simulation,T,xbox,Microsoft Game Studios,FASA Studio,0.19,2003
2749,Spec Ops: Ranger Elite,spec-ops-ranger-elite,Shooter,T,other,Take-Two Interactive,Runecraft,0.33,2001
2750,Gex,gex,Platform,E,other,Crystal Dynamics,Crystal Dynamics,0.33,1995
2751,Minecraft: Story Mode,minecraft-story-mode,Adventure,E10,other,Mojang,Telltale Games,0.42,2015
2752,Tales of Xillia 2,tales-of-xillia-2,Misc,unrated,other,Namco Bandai Games,Unknown,0.13,2014
2753,Peppa Pig: The Game,peppa-pig-the-game,Misc,unrated,other,Pinnacle,Asylum Entertainment,0.81,2008
2754,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,E10,xbox,Ubisoft,Ubisoft Montreal,0.18,2011
2756,Tom Clancy's Ghost Recon: Island Thunder,tom-clancys-ghost-recon-island-thunder,Shooter,M,xbox,Ubisoft,Red Storm Entertainment,0.24,2003
2757,Sleeping Dogs,sleeping-dogs,Action-Adventure,M,xbox,Square Enix,United Front Games,0.4,2012
2758,Kingdoms of Amalur: Reckoning,kingdoms-of-amalur-reckoning,Role-Playing,M,xbox,Electronic Arts,38 Studios,0.24,2012
2759,LEGO Dimensions,lego-dimensions,Action,E10,xbox,Warner Bros. Interactive Entertainment,Traveller's Tales,0.31,2015
2760,Need for Speed: V-Rally,need-for-speed-v-rally,Racing,E,other,Electronic Arts,Infogrames,0.29,1997
2761,Kingdom Hearts Re: Chain of Memories,kingdom-hearts-re-chain-of-memories,Role-Playing,E10,other,Square Enix,Jupiter Corporation,0.03,2008
2762,Final Fantasy XIV Online,final-fantasy-xiv-online,MMO,T,other,Square Enix,Square Enix,0.09,2013
2763,Super Bomberman R,super-bomberman-r,Puzzle,E10,nintendo,Konami Digital Entertainment,HexaDrive,0.32,2017
2764,The Evil Within,the-evil-within,Misc,M,other,Bethesda Softworks,Tango Gameworks,0.35,2014
2765,NFL GameDay '97,nfl-gameday-97,Sports,E,other,Sony Computer Entertainment,SCEA,0.33,1996
2766,Paper Mario: Color Splash,paper-mario-color-splash,Action-Adventure,E,nintendo,Nintendo,Intelligent Systems,0.37,2016
2767,Tony Hawk's Project 8,tony-hawks-project-8,Sports,T,other,Activision,Shaba Games,0.03,2006
2768,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,pc,Rockstar Games,Rockstar Toronto,0.8,2008
2769,NHL 2000,nhl-2000,Sports,E,other,EA Sports,EA Canada,0.33,1999
2770,Cooking Mama: World Kitchen,cooking-mama-world-kitchen,Simulation,E,nintendo,Majesco,Cooking Mama Limited,0.27,2008
2771,GRID,grid,Racing,E,xbox,Codemasters,Codemasters,0.44,2008
2772,DiRT,dirt,Racing,E,xbox,Codemasters,Codemasters,0.4,2007
2773,Red Faction: Guerrilla,red-faction-guerrilla,Shooter,M,xbox,THQ,Volition Inc.,0.29,2009
2774,Fight Night Round 2,fight-night-round-2,Fighting,T,other,EA Sports,EA Sports,0.03,2005
2775,Mario Party: Star Rush,mario-party-star-rush,Party,E,nintendo,Nintendo,"Nd Cube Co., Ltd.",0.37,2016
2776,Conflict: Desert Storm,conflict-desert-storm,Shooter,M,xbox,Gotham Games,Pivotal Games,0.37,2002
2777,Triple Play 2002,triple-play-2002,Sports,E,other,EA Sports,Pandemic Studios,0.33,2002
2778,Brothers In Arms: Hell's Highway,brothers-in-arms-hells-highway,Shooter,M,xbox,Ubisoft,Gearbox Software,0.3,2008
2779,Vagrant Story,vagrant-story,Role-Playing,T,other,Square EA,SquareSoft,0.2,2000
2780,Warriors Orochi,warriors-orochi,Action,T,other,KOEI,Omega Force,0.09,2007
2781,Mercenaries 2: World in Flames,mercenaries-2-world-in-flames,Shooter,T,other,Electronic Arts,Pandemic Studios,0.4,2008
2782,Ghostbusters: The Video Game,ghostbusters-the-video-game,Action,E10,nintendo,Atari,Red Fly Studio,0.21,2009
2783,Wizards of Waverly Place,wizards-of-waverly-place,Misc,E,other,Disney Interactive Studios,"Black Lantern Studios, Inc.",0.2,2009
2784,Enduro,enduro,Racing,unrated,other,Activision,Activision,0.05,1983
2785,For Honor,for-honor,Action,M,xbox,Ubisoft,Ubisoft Montreal,0.21,2017
2786,Endless Ocean: Blue World,endless-ocean-blue-world,Simulation,E10,nintendo,Nintendo,Arika,0.22,2010
2787,SingStar '90s,singstar-90s,Misc,T,other,Sony Computer Entertainment,SCEE London Studio,0.59,2008
2789,Wii Fit U,wii-fit-u,Misc,E,nintendo,Nintendo,Nintendo,0.24,2014
2790,Final Fantasy X / X-2 HD Remaster,final-fantasy-x,Role-Playing,T,other,Square Enix,Square Enix,0.29,2014
2792,Tales of the Abyss,tales-of-the-abyss,Role-Playing,T,nintendo,Namco Bandai,Namco Tales Studio,0.2,2012
2793,Lemmings,lemmings,Puzzle,E,other,Sony Computer Entertainment,Team17 Software,0.52,2006
2794,Beijing 2008,beijing-2008,Sports,E,other,Sega,Eurocom Entertainment Software,0.54,2008
2795,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,E,other,Konami,Konami Computer Entertainment Tokyo,0.72,2007
2796,Rocky,rocky,Fighting,T,other,Ubisoft,Rage Software,0.33,2002
2797,BioShock: The Collection,bioshock-the-collection,Shooter,M,other,2K Games,"Blind Squirrel Digital, Inc",0.28,2016
2798,Dishonored 2,dishonored-2,Action,unrated,xbox,Bethesda Softworks,Arkane Studios,0.31,2016
2799,Ford Racing,ford-racing,Racing,E,other,Empire Interactive,2K Games,0.33,2001
2801,Plants vs. Zombies: Garden Warfare 2,plants-vs-zombies-garden-warfare-2,Shooter,E10,xbox,Electronic Arts,PopCap Games,0.32,2016
2802,Madden Football 64,madden-football-64,Sports,E,nintendo,EA Sports,EA Tiburon,0.04,1997
2803,LEGO Batman 2: DC Super Heroes,lego-batman-2-dc-super-heroes,Action-Adventure,E10,nintendo,Warner Bros. Interactive Entertainment,TT Fusion,0.37,2012
2805,MLB 99,mlb-99,Sports,E,other,Sony Computer Entertainment,Sony Interactive Studios America,0.32,1998
2806,Guitar Hero: Warriors of Rock,guitar-hero-warriors-of-rock,Misc,T,xbox,Activision,Neversoft Entertainment,0.31,2010
2807,Bayonetta 2,bayonetta-2,Action,M,nintendo,Nintendo,PlatinumGames,0.32,2014
2808,Gold's Gym: Dance Workout,golds-gym-dance-workout,Sports,E10,nintendo,Ubisoft,Land Ho!,0.1,2010
2809,Dynasty Warriors 4: Xtreme Legends,dynasty-warriors-4-xtreme-legends,Action,T,other,KOEI,Omega Force,0.13,2003
2810,Pictionary,pictionary,Misc,E,nintendo,THQ,"Page 44 Studios, LLC",0.19,2010
2813,Tomb Raider: Anniversary,tomb-raider-anniversary,Action,T,nintendo,Eidos Interactive,Crystal Dynamics,0.63,2007
2814,Army Men: Air Attack,army-men-air-attack,Action,T,other,3DO,3DO,0.32,1999
2815,Kingdoms of Amalur: Reckoning,kingdoms-of-amalur-reckoning,Role-Playing,unrated,other,Electronic Arts,38 Studios,0.29,2012
2816,Thief,thief,Action,M,other,Square Enix,Eidos Montreal,0.41,2014
2817,FIFA Soccer 08,fifa-soccer-08,Sports,E,other,EA Sports,EA Canada,0.65,2007
2818,2010 FIFA World Cup South Africa,2010-fifa-world-cup-south-africa,Sports,E,xbox,EA Sports,EA Canada,0.42,2010
2819,NBA 2K8,nba-2k8,Sports,E,xbox,2K Sports,Visual Concepts,0,2007
2820,Until Dawn: Rush of Blood,until-dawn-rush-of-blood,Shooter,M,other,Sony Interactive Entertainment,Supermassive Games Ltd.,0.21,2016
2821,Ninja Gaiden Sigma 2,ninja-gaiden-sigma-2,Action,M,other,Tecmo Koei,Team Ninja,0.16,2009
2822,Street Fighter Alpha 2,street-fighter-alpha-2,Fighting,T,other,Capcom,Capcom,0.09,1996
2823,Disney Infinity 3.0,disney-infinity-30,Action,E,other,Disney Interactive Studios,Avalanche Software,0.4,2015
2824,Tiger Woods PGA Tour 2005,tiger-woods-pga-tour-2005,Sports,E,xbox,EA Sports,EA Redwood Shores,0.18,2004
2825,Dragon Ball Z: Burst Limit,dragon-ball-z-burst-limit,Fighting,T,other,Atari,Dimps Corporation,0.34,2008
2826,Castlevania III: Dracula's Curse,castlevania-iii-draculas-curse,Platform,unrated,nintendo,Konami,Konami,0.07,1990
2827,Army of Two: The 40th Day,army-of-two-the-40th-day,Shooter,M,other,Electronic Arts,EA Montreal,0.27,2010
2828,Rampage World Tour,rampage-world-tour,Action,T,other,Midway Games,Game Refuge,0.32,1997
2831,Farming Simulator 17,farming-simulator-17,Simulation,E,other,Focus Home Interactive,Giants Software,0.52,2016
2832,Burnout Legends,burnout-legends,Racing,E10,other,Electronic Arts,Criterion Games,0.06,2005
2834,LEGO Jurassic World,lego-jurassic-world,Action,E10,nintendo,Warner Bros. Interactive Entertainment,TT Fusion,0.39,2015
2835,Ratatouille,ratatouille,Platform,E,other,THQ,Asobo Studio,0,2007
2836,NFL GameDay,nfl-gameday,Sports,E,other,Sony Computer Entertainment,Sony Interactive Studios America,0.32,1996
2838,Burnout 2: Point of Impact,burnout-2-point-of-impact,Racing,E,other,Acclaim Entertainment,Criterion Games,0.32,2002
2839,The House of the Dead: Overkill,the-house-of-the-dead-overkill,Shooter,M,nintendo,Sega,Headstrong Games,0.3,2009
2840,Street Fighter EX3,street-fighter-ex3,Fighting,T,other,Capcom,Arika,0.25,2000
2841,Darksiders II,darksiders-ii,Action-Adventure,M,other,THQ,Vigil Games,0.37,2012
2842,Ghostbusters: The Video Game,ghostbusters-the-video-game,Action,T,other,Atari,Terminal Reality,0.36,2009
2843,Spider-Man 2,spider-man-2,Action,T,nintendo,Activision,Treyarch,0.17,2004
2844,Sniper Elite V2,sniper-elite-v2,Shooter,M,xbox,505 Games,Rebellion Developments,0.28,2012
2845,Xenoblade Chronicles X,xenoblade-chronicles-x,Role-Playing,T,nintendo,Nintendo,Monolith Soft,0.29,2015
2846,NBA 2K10,nba-2k10,Sports,E,other,2K Sports,Visual Concepts,0.01,2009
2848,The Incredibles,the-incredibles,Action,T,nintendo,THQ,Heavy Iron Studios,0.17,2004
2849,Skate 2,skate-2,Sports,T,other,Electronic Arts,EA Black Box,0.25,2009
2850,Petz Dogz Fashion,petz-dogz-fashion,Simulation,E,other,Ubisoft,Ubisoft,0.3,2008
2851,ATV Quad Power Racing 2,atv-quad-power-racing-2,Racing,E,other,Acclaim Entertainment,Climax Entertainment,0.32,2003
2852,Lego Batman 3: Beyond Gotham,lego-batman-3-beyond-gotham,Action,E10,other,Warner Bros. Interactive Entertainment,Traveller's Tales,0.36,2014
2853,ZombiU,zombiu,Action,M,nintendo,Ubisoft,Ubisoft Montpellier,0.37,2012
2854,Rocket Power: Team Rocket Rescue,rocket-power-team-rocket-rescue,Sports,E,other,THQ,Darkblack,0.32,2001
2855,Madden NFL 09 All-Play,madden-nfl-09-all-play,Sports,E,nintendo,EA Sports,EA Tiburon,0.01,2008
2856,Big Mutha Truckers,big-mutha-truckers,Racing,T,other,THQ,Eutechnyx,0.32,2003
2857,Harry Potter and the Order of the Phoenix,harry-potter-and-the-order-of-the-phoenix,Adventure,E,other,Electronic Arts,Visual Impact,0.46,2007
2858,Rogue Galaxy,rogue-galaxy,Role-Playing,T,other,Sony Computer Entertainment,Level 5,0.16,2007
2859,Street Fighter X Tekken,street-fighter-x-tekken,Fighting,T,other,Capcom,Capcom,0.22,2012
2861,ESPN College Hoops 2K5,espn-college-hoops-2k5,Sports,E,other,Sega,Visual Concepts,0.32,2004
2862,Blazing Angels: Squadrons of WWII,blazing-angels-squadrons-of-wwii,Simulation,T,nintendo,Ubisoft,Ubisoft Romania,0.04,2007
2863,Metroid: Zero Mission,metroid-zero-mission,Adventure,E,nintendo,Nintendo,Nintendo R&D1,0.22,2004
2864,Ben 10: Protector of Earth,ben-10-protector-of-earth,Action,E10,other,D3 Publisher,High Voltage Software,0,2007
2865,Q*bert,qbert,Puzzle,E,other,Hasbro Interactive,Artech Digital Entertainment,0.32,1999
2867,Forza Horizon 2,forza-horizon-2,Racing,E10,xbox,Microsoft Studios,Sumo Digital,0.41,2014
2869,Madden NFL 25,madden-nfl-25,Sports,E,xbox,EA Sports,EA Tiburon,0.06,2013
2870,DJ Hero 2,dj-hero-2,Misc,T,xbox,Activision,FreeStyle Games,0.12,2010
2871,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,nintendo,Activision,Infinity Ward,0.2,2011
2872,Ace Combat 3: Electrosphere,ace-combat-3-electrosphere,Simulation,E,other,Namco,Namco,0.15,2000
2873,Time Crisis 4,time-crisis-4,Shooter,T,other,Namco Bandai,Bandai Namco Games,0.32,2007
2874,Dynasty Warriors 2,dynasty-warriors-2,Action,T,other,KOEI,Omega Force,0.19,2000
2875,Need for Speed: Nitro,need-for-speed-nitro,Racing,E10,nintendo,Electronic Arts,EA Montreal,0.3,2009
2876,Duke Nukem Forever,duke-nukem-forever,Shooter,M,xbox,2K Games,Gearbox Software,0.25,2011
2877,Madden NFL 07,madden-nfl-07,Sports,E,other,EA Sports,EA Tiburon,0.03,2006
2878,Stranglehold,stranglehold,Shooter,M,xbox,Midway Games,Midway Games,0.33,2007
2879,Metal Gear Solid V: The Phantom Pain,metal-gear-solid-v-the-phantom-pain,Action,M,xbox,Konami Digital Entertainment,Kojima Productions,0.25,2015
2880,Tiger Woods PGA Tour 11,tiger-woods-pga-tour-11,Sports,E,other,EA Sports,EA Tiburon,0.34,2010
2881,Dragon Age II,dragon-age-ii,Role-Playing,M,other,Electronic Arts,BioWare Corp.,0.26,2011
2882,Lizzie McGuire 2: Lizzie Diaries,lizzie-mcguire-2-lizzie-diaries,Action,E,nintendo,Disney Interactive Studios,Artificial Mind and Movement,0.22,2004
2883,WWE SmackDown vs. Raw 2009,wwe-smackdown-vs-raw-2009,Fighting,T,nintendo,THQ,Yuke's Media Creations,0.31,2008
2884,FIFA Soccer World Championship,fifa-soccer-world-championship,Sports,unrated,other,EA Sports,EA Sports,0.21,2000
2885,Brute Force,brute-force,Shooter,M,xbox,Microsoft Game Studios,Digital Anvil,0.18,2003
2887,Sniper: Ghost Warrior,sniper-ghost-warrior,Shooter,M,other,City Interactive,City Interactive,0.35,2011
2888,Scooby-Doo! First Frights,scooby-doo-first-frights,Adventure,E10,other,Warner Bros. Interactive,Torus Games,0.16,2009
2890,The Game of Life,the-game-of-life,Misc,E,other,Hasbro Interactive,Double Helix Games,0.31,1998
2891,Dance Central 3,dance-central-3,Music,T,xbox,Microsoft,Harmonix Music Systems,0.19,2012
2892,Mega Man Legends,mega-man-legends,Adventure,E,other,Capcom,Capcom,0.26,1998
2893,Sly 3: Honor Among Thieves,sly-3-honor-among-thieves,Platform,E10,other,Sony Computer Entertainment,Sucker Punch,0.03,2005
2894,Dragon Ball: Raging Blast 2,dragon-ball-raging-blast-2,Fighting,T,other,Namco Bandai,Spike,0.19,2010
2895,Twisted Metal (2012),twisted-metal-2012,Action,M,other,Sony Computer Entertainment,Eat Sleep Play,0.07,2012
2896,MLB SlugFest 20-03,mlb-slugfest-20-03,Sports,E,other,Midway Games,Gratuitous Games,0.32,2002
2897,Guitar Hero Live,guitar-hero-live,Music,T,xbox,Activision,FreeStyleGames,0.23,2015
2899,Sid Meier's Civilization Revolution,sid-meiers-civilization-revolution,Strategy,E10,xbox,2K Games,Firaxis Games,0.17,2008
2900,MediEvil,medievil,Adventure,T,other,Sony Computer Entertainment,SCEE Cambridge,0.31,1998
2901,Casper,casper,Adventure,E,other,Interplay,Funcom,0.31,1996
2903,Harvest Moon: Tree of Tranquility,harvest-moon-tree-of-tranquility,Simulation,E,nintendo,Natsume,Runtime,0.03,2008
2904,James Bond 007: Nightfire,james-bond-007-nightfire,Shooter,T,xbox,Electronic Arts,Eurocom Entertainment Software,0.22,2002
2905,Tony Hawk's Underground 2 Remix,tony-hawks-underground-2-remix,Sports,T,other,Activision,Shaba Games,0.21,2005
2906,Marvel: Ultimate Alliance,marvel-ultimate-alliance,Role-Playing,T,other,Activision,Raven Software,0.03,2006
2907,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,T,nintendo,Activision,Neversoft Entertainment,0.17,2001
2908,FIFA 17,fifa-17,Sports,E,xbox,Electronic Arts,EA Canada,0.56,2016
2909,Karaoke Revolution Glee,karaoke-revolution-glee,Misc,E10,nintendo,Konami,Blitz Games,0.24,2010
2911,Need for Speed: Hot Pursuit 2,need-for-speed-hot-pursuit-2,Racing,E,xbox,Electronic Arts,EA Black Box,0.11,2002
2913,Clu Clu Land,clu-clu-land,Puzzle,unrated,nintendo,Nintendo,Nintendo R&D1,0.1,1985
2914,Killer Instinct Gold,killer-instinct-gold,Fighting,T,nintendo,Nintendo,Rare Ltd.,0.19,1996
2915,Amped: Freestyle Snowboarding,amped-freestyle-snowboarding,Sports,E,xbox,Microsoft,Indie Built,0.11,2001
2916,MediEvil: Resurrection,medievil-resurrection,Adventure,T,other,Sony Computer Entertainment,SCEE,0.42,2005
2917,Custer's Revenge,custers-revenge,Action,unrated,other,Mystique,Mystique,0.05,1982
2918,Rocket Power: Beach Bandits,rocket-power-beach-bandits,Platform,E,other,THQ,Evolution Games,0.31,2002
2919,The Lord of the Rings: War in the North,the-lord-of-the-rings-war-in-the-north,Role-Playing,M,other,Warner Bros. Interactive,Snowblind Studios,0.43,2011
2920,Patapon,patapon,Platform,E,other,Sony Computer Entertainment,Pyramid/JAPAN Studio,0.25,2008
2921,The Crew 2,the-crew-2,Racing,T,other,Ubisoft,Ivory Tower,0.42,2018
2922,Pro Evolution Soccer 2016,pro-evolution-soccer-2016,Sports,E,other,Konami Digital Entertainment,PES Productions,0.43,2015
2923,The Walking Dead: A Telltale Games Series,the-walking-dead-a-telltale-games-series,Adventure,M,other,Telltale Games,Telltale Games,0.25,2012
2924,Shin Megami Tensei: Persona 4,shin-megami-tensei-persona-4,Role-Playing,M,other,Atlus,Atlus,0.04,2008
2926,Professor Layton vs Ace Attorney,professor-layton-vs-ace-attorney,Adventure,T,nintendo,Nintendo,Level 5,0.27,2014
2929,Ready 2 Rumble Boxing: Round 2,ready-2-rumble-boxing-round-2,Fighting,T,other,Midway Games,Midway Games,0.31,2000
2931,Imagine: Rock Star,imagine-rock-star,Simulation,E,other,Ubisoft,Gevo Entertainment,0.33,2008
2933,Tales of Destiny II,tales-of-destiny-ii,Role-Playing,T,other,Namco,Telenet Japan / Wolfteam,0.04,2001
2935,NASCAR 2001,nascar-2001,Racing,E,other,EA Sports,EA Black Box,0.31,2000
2936,DmC Devil May Cry,dmc-devil-may-cry,Action,M,other,Capcom,Ninja Theory,0.29,2013
2937,The Legend of Zelda: Four Swords Adventures,the-legend-of-zelda-four-swords-adventures,Adventure,E,nintendo,Nintendo,Nintendo EAD,0.16,2004
2939,Valkyrie Profile,valkyrie-profile,Role-Playing,T,other,Enix,tri-Ace,0.05,2000
2940,Shaun White Snowboarding,shaun-white-snowboarding,Sports,T,xbox,Ubisoft,Ubisoft Montreal,0.25,2008
2943,Madden NFL 16,madden-nfl-16,Sports,E,other,EA Sports,EA Tiburon,0.07,2015
2944,Army Men: Sarge's Heroes,army-men-sarges-heroes,Shooter,T,nintendo,3DO,3DO,0.12,1999
2947,Mega Man,mega-man,Platform,unrated,nintendo,Capcom,Capcom,0.08,1987
2948,Pro Evolution Soccer 2010,pro-evolution-soccer-2010,Sports,E,xbox,Konami,Konami,0.58,2009
2949,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,dragon-quest-heroes-the-worlds-tree-woe-and-the-blight-below,Action,T,other,Square Enix,Square Enix,0.14,2015
2950,LEGO Dimensions,lego-dimensions,Action,E10,other,Warner Bros. Interactive Entertainment,Traveller's Tales,0.41,2015
2951,Tom Clancy's Rainbow Six 3,tom-clancys-rainbow-six-3,Shooter,M,other,Ubisoft,Ubisoft Montreal / Red Storm Entertainment,0.31,2004
2952,Disney's The Little Mermaid: Ariel's Undersea Adventure,disneys-the-little-mermaid-ariels-undersea-adventure,Action,E,other,Buena Vista,Gorilla Systems,0.03,2006
2953,Battle of Giants: Dinosaurs,battle-of-giants-dinosaurs,Strategy,E,other,Ubisoft,Ubisoft Quebec,0.35,2008
2954,SingStar Vol. 2,singstar-vol-2,Misc,T,other,Sony Computer Entertainment,SCEE London Studio,0.39,2008
2956,Professor Layton and the Azran Legacy,professor-layton-and-the-azran-legacy,Puzzle,E10,nintendo,Nintendo,Level 5,0.53,2014
