rank,name,basename,genre,esrb_rating,platform,publisher,developer,pal_sales,year
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,2.83,2005
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,other,Sony Computer Entertainment,Naughty Dog,2.17,1997
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,Sledgehammer Games,3.34,2014
131,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,xbox,Activision,Treyarch,1.91,2008
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,xbox,Activision,Treyarch,2.04,2015
136,Battlefield 3,battlefield-3,Shooter,M,xbox,Electronic Arts,Dice,2.12,2011
138,Battlefield 1,battlefield-1,Shooter,M,other,Electronic Arts,EA DICE,3.65,2016
139,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,2.94,2011
140,Need for Speed Underground,need-for-speed-underground,Racing,E,other,Electronic Arts,EA Black Box,2.83,2003
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,other,Sony Computer Entertainment,Naughty Dog,1.75,1998
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,other,Electronic Arts,EA Black Box,3.02,2004
146,Just Dance 4,just-dance-4,Music,E10,nintendo,Ubisoft,Ubisoft,2.21,2012
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,other,Sony Computer Entertainment,Naughty Dog,2.81,2011
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,other,Electronic Arts,EA Los Angeles,2.75,2002
151,Zumba Fitness,zumba-fitness,Sports,E,nintendo,Majesco,"Pipeworks Software, Inc.",2.62,2010
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,other,Sony Computer Entertainment,Naughty Dog,2.22,2009
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,2.27,2007
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,other,EA Sports,EA Canada,4.33,2011
155,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,4.77,2013
156,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,2.58,2011
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,2.61,2012
161,Red Dead Redemption,red-dead-redemption,Action,M,xbox,Rockstar Games,Rockstar San Diego,2.03,2010
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,2.68,2011
166,Halo 3: ODST,halo-3-odst,Shooter,M,xbox,Microsoft Game Studios,Bungie,1.34,2009
167,Minecraft,minecraft,Misc,E10,other,Sony Computer Entertainment,Mojang,3.13,2014
168,FIFA 15,fifa-15,Sports,E,other,EA Sports,EA Canada,4.49,2014
171,The Last of Us,the-last-of-us,Action-Adventure,M,other,Sony Computer Entertainment America,Naughty Dog,2.57,2013
172,Driver,driver,Action,T,other,GT Interactive,Reflections Interactive,2.8,1999
173,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,xbox,Activision,Sledgehammer Games,1.91,2017
174,God of War (2018),god-of-war-2018,Action,M,other,Sony Interactive Entertainment,SIE Santa Monica Studio,2.17,2018
176,Minecraft,minecraft,Misc,E10,other,Sony Computer Entertainment America,Mojang,2.86,2014
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,M,other,Konami,Konami Computer Entertainment Japan,2.01,2001
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,M,other,Konami,Kojima Productions,1.72,2008
185,LittleBigPlanet,littlebigplanet,Platform,E,other,Sony Computer Entertainment,Media Molecule,2.01,2008
189,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,xbox,Rockstar Games,Rockstar Games,1.47,2018
191,Destiny,destiny,Shooter,T,other,Activision,Bungie,2.13,2014
193,Tekken 2,tekken-2,Fighting,T,other,Namco,Namco,1.89,1996
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,unrated,other,Sony Computer Entertainment,Bluepoint Games,2.11,2015
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E10,nintendo,LucasArts,Traveller's Tales,1.57,2007
197,Cooking Mama,cooking-mama,Simulation,E,other,Majesco,Office Create,1.92,2006
201,Assassin's Creed II,assassins-creed-ii,Action,M,other,Ubisoft,Ubisoft Montreal,1.95,2009
203,Assassin's Creed,assassins-creed,Action,M,xbox,Ubisoft,Ubisoft Montreal,1.64,2007
204,Batman: Arkham City,batman-arkham-city,Action,T,other,Warner Bros. Interactive,Rocksteady Studios,1.89,2011
205,Forza Motorsport 3,forza-motorsport-3,Racing,E,xbox,Microsoft Game Studios,Turn 10 Studios,1.9,2009
212,Minecraft,minecraft,Misc,E10,xbox,Microsoft Studios,Mojang,1.71,2014
213,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,other,Activision,Treyarch,1.84,2008
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,E,other,Universal Interactive,Traveller's Tales,2.29,2001
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,M,other,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2.82,2015
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,other,Square Enix,Square Enix,1.23,2010
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,xbox,Ubisoft,Ubisoft Montreal,1.71,2012
223,Assassin's Creed II,assassins-creed-ii,Action,M,xbox,Ubisoft,Ubisoft Montreal,1.55,2009
228,Tomb Raider II,tomb-raider-ii,Adventure,T,other,Eidos Interactive,Core Design Ltd.,2.46,1997
229,Madden NFL 2004,madden-nfl-2004,Sports,E,other,EA Sports,EA Tiburon,0.26,2003
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,xbox,Activision,Sledgehammer Games,1.49,2014
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,T,other,Electronic Arts,EA Los Angeles,2.23,2003
239,Battlefield 1,battlefield-1,Shooter,M,xbox,Electronic Arts,EA DICE,1.26,2016
241,Microsoft Flight Simulator,microsoft-flight-simulator,Simulation,E,pc,Microsoft,Microsoft,1.69,1996
242,Guitar Hero II,guitar-hero-ii,Misc,T,other,RedOctane,Harmonix Music Systems,0.63,2006
243,FIFA 13,fifa-13,Sports,E,xbox,EA Sports,EA Canada,3.49,2012
244,Resident Evil 5,resident-evil-5,Action,M,other,Capcom,Capcom,1.42,2009
245,Fable III,fable-iii,Role-Playing,M,xbox,Microsoft Game Studios,Lionhead Studios,1.09,2010
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,E,other,Sega,Sega,2.46,2008
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,2.03,2006
248,FIFA Soccer 11,fifa-soccer-11,Sports,E,other,EA Sports,EA Canada,3.28,2010
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,other,Square Enix,Square Enix,1.53,2016
251,Fallout 4,fallout-4,Role-Playing,M,xbox,Bethesda Softworks,Bethesda Game Studios,1.62,2015
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,T,other,Activision,Neversoft Entertainment,1.38,1999
253,Warzone 2100,warzone-2100,Strategy,T,other,Eidos Interactive,Pumpkin Studios,1.89,1999
254,Spyro the Dragon,spyro-the-dragon,Platform,E,other,Sony Computer Entertainment,Insomniac Games,1.36,1998
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,other,RedOctane,BudCat Creations,0.01,2007
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,T,other,Sony Computer Entertainment,Naughty Dog,1.73,2007
264,Fallout 3,fallout-3,Role-Playing,M,xbox,Bethesda Softworks,Bethesda Game Studios,0.99,2008
266,Madden NFL 06,madden-nfl-06,Sports,E,other,EA Sports,EA Tiburon,0.26,2005
272,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,xbox,Activision,Treyarch,1.12,2018
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,other,Activision,Vicarious Visions,2.92,2017
275,Assassin's Creed,assassins-creed,Action,M,other,Ubisoft,Ubisoft Montreal,2.01,2007
276,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,xbox,Activision,Infinity Ward,1.44,2016
277,Crash Team Racing,crash-team-racing,Racing,E,other,Sony Computer Entertainment,Naughty Dog,1.57,1999
