rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,region,regional_sales
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,9.41,2007,other,0.91
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,other,Activision,Treyarch,9.32,2018,north america,4.05
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,other,Activision,Treyarch,9.32,2018,europe,3.28
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,other,Activision,Treyarch,9.32,2018,japan,0.5
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,other,Activision,Treyarch,9.32,2018,other,1.49
101,FIFA 19,fifa-19,Sports,E,other,Electronic Arts,EA Sports,9.15,2018,north america,0.84
101,FIFA 19,fifa-19,Sports,E,other,Electronic Arts,EA Sports,9.15,2018,europe,6.87
101,FIFA 19,fifa-19,Sports,E,other,Electronic Arts,EA Sports,9.15,2018,japan,0.1
101,FIFA 19,fifa-19,Sports,E,other,Electronic Arts,EA Sports,9.15,2018,other,1.34
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.88,2011,north america,5.1
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.88,2011,europe,2.83
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.88,2011,japan,0.1
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.88,2011,other,0.85
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,8.72,2014,north america,4.7
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,8.72,2014,europe,3.25
